Region,Totadefunciones,Tasaobservada,Tasaajustada
Pais ,4324 ,222 ,13.9 
XV Aricay y Parinacota ,44 ,17.5 ,12.0 
ITarapaca ,42 ,11.0 ,9.5 
II Antofagasta ,148 ,214 ,19.9 
III Atacama ,49 ,156 ,106 
IV Coquimbo ,82 ,9.8 ,5.7 
V Valparaiso ,445 ,22.7 ,12.1 
Region Metropolitana ,2648 ,32.6 ,22.2 
VI O'Higgins ,193 ,195 ,113 
VII Maule ,166 ,14.7 ,8.5 
XVI De Nuble ,53 ,10.4 ,5.0 
VIII Del Biobio ,181 ,109 ,6.5 
IX Araucania ,129 ,127 ,6.7 
XIV Los Rios ,22 ,5.4 ,26 
X Los Lagos ,79 ,8.9 ,5.6 
XI Aysen ,4 ,3.7 ,2.4 
XII Magallanes y la Antartica ,38 ,213 ,128 
Ignorada ,1 ,0.0 ,0.0 
