Comuna,NO,Poblacion,Tasa
Alto de Carmen ,- ,5729 ,"0,0 "
Caldera ,- ,19426 ,"0,0 "
Chanara ,- ,13164 ,"0,0 "
Copiapo ,- ,171766 ,"0,6 "
Diego de Almagro ,- ,14358 ,"7,0 "
Freirina ,- ,7681 ,"0,0 "
Huasco ,- ,11264 ,"0,0 "
Tierra Amarilla ,- ,14312 ,"0,0 "
Vallenar ,- ,57009 ,"0,0 "
Total ,2 ,314709 ,"0,6 "
