Grupoedad,Hombre,Mujer
00 04 anos ,2302 ,2095 
05 09 anos ,1772 ,1657 
10 14 anos ,2054 ,2060 
15 19 anos ,3640 ,4117 
20 24 anos ,10344 ,10152 
25 29 anos ,16776 ,16213 
30 34 anos ,17023 ,15087 
35 39 anos ,14139 ,12097 
40 44 anos ,11641 ,10081 
45 49 anos ,11327 ,10661 
50 54 anos ,10867 ,9926 
55 59 anos ,10188 ,8959 
60 64 anos ,7494 ,6232 
65 69 anos ,4657 ,4074 
70 74 anos ,3232 ,3103 
75 79 anos ,2248 ,2339 
80 y mas anos ,2613 ,4191 
