Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,& 11791 ,164 ,1390.9 ,21 ,178.1 ,21 ,178.1 
Canela ,& 9546 ,94 ,984.7 ,9 ,94.3 ,9 ,94.3 
Combarbala ,& 13884 ,81 ,583.4 ,4 ,28.8 ,4 ,28.8 
Coquimbo ,& 256735 ,4578 ,1783.2 ,126 ,49.1 ,126 ,49.1 
Illapel ,& 32801 ,461 ,1405.4 ,17 ,51.8 ,17 ,51.8 
La Higuera ,4450 ,103 ,2314.6 ,1 ,22.5 ,1 ,22.5 
La Serena ,& 249656 ,3667 ,1468.8 ,99 ,39.7 ,99 ,39.7 
Los Vilos ,& 23374 ,296 ,1266.4 ,17 ,72.7 ,17 ,72.7 
Monte Patria ,32527 ,495 ,1521.8 ,15 ,46.1 ,15 ,46.1 
Ovalle ,& 121269 ,2582 ,2129.2 ,105 ,86.6 ,105 ,86.6 
Paiguano ,& 4675 ,31 ,663.1 ,7 ,149.7 ,7 ,149.7 
Punitaqui ,12165 ,191 ,1570.1 ,8 ,65.8 ,7 ,57.5 
Rio Hurtado ,4372 ,48 ,1097.9 ,1 ,22.9 ,1 ,22.9 
Salamanca ,& 29110 ,230 ,790.1 ,4 ,13.7 ,4 ,13.7 
Vicuna ,29741 ,301 ,1012.1 ,19 ,63.9 ,19 ,63.9 
Desconocido ,& - ,144 ,- ,3 ,- ,3 ,- 
Total ,836096 ,13466 ,1610.6 ,456 ,54.5 ,455 ,54.4 
