Taltal,&0OOOO2,3,2,1,1,3,12,6,9,8,9,12,7,11,13,0
Tocopilla ,O O O 2 O 4 ,5 ,O ,1 ,2 ,7 ,8 ,8 ,4 ,6 ,25 ,50 ,61 ,43 ,15 ,O 
Desconocido ,& O 0 O 0 O 0 ,O ,O ,5 ,0 ,1 ,1 ,0 ,0 ,5 ,10 ,41 ,30 ,32 ,27 ,O 
Total ,2 1 4 35 36 65 ,106 ,156 ,255 ,396 ,509 ,657 ,642 ,857 ,1379 ,1696 ,1837 ,1708 ,1594 ,666 ,0 
