0.0,O,O,O,O,0,O,0,O,O,O,0,1,O,0,O
21.5 ,0 ,0 ,0 ,3 ,16 ,21 ,3 ,4 ,6 ,2 ,2 ,2 ,0 ,4 ,0 
49.5 ,0 ,1 ,35 ,168 ,219 ,164 ,74 ,60 ,50 ,39 ,73 ,176 ,163 ,176 ,42 
