Primavera,0000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Punta Arenas ,O 2 5 66 ,121 ,147 ,156 ,133 ,86 ,108 ,83 ,53 ,51 ,24 ,35 ,123 ,82 ,62 ,43 ,51 
Rio Verde ,O 0 O 0 ,0 ,0 ,0 ,0 ,0 ,O ,O ,0 ,0 ,0 ,O ,O ,O ,O ,O ,O 
San Gregorio ,0 O O O ,0 ,0 ,0 ,O ,O ,O ,2 ,0 ,O ,0 ,O ,O ,0 ,0 ,0 ,O 
Timaukel ,0 O O 0 ,O ,O ,0 ,0 ,O ,0 ,0 ,O ,O ,O ,O ,0 ,O ,0 ,0 ,0 
Torres del Paine ,& 0 0 O 0 ,O ,0 ,O ,0 ,0 ,O ,O ,O ,O ,O ,0 ,O ,O ,0 ,O ,O 
Desconocido ,& 0 0 0 1 ,O ,1 ,42 ,14 ,4 ,2 ,1 ,O ,O ,O ,O ,1 ,1 ,1 ,1 ,1 
Total ,0 2 8 76 ,132 ,150 ,208 ,150 ,90 ,114 ,88 ,55 ,55 ,24 ,36 ,125 ,88 ,81 ,51 ,54 
