Rosendo,0,OO,O,O,O,O,0,OO,1,1,O,2,2,O,8,8,6,5,1,1,O
Barbara ,O ,O O ,O ,2 ,1 ,O ,0 ,O O ,4 ,9 ,7 ,19 ,7 ,8 ,23 ,9 ,14 ,15 ,8 ,20 ,2 
Juana ,O ,0 O ,O ,O ,1 ,O ,0 ,1 0 ,O ,O ,0 ,3 ,17 ,23 ,15 ,7 ,2 ,5 ,11 ,1 ,O 
Talcahuano & ,O ,O 1 ,16 ,16 ,20 ,14 ,14 ,21 17 ,18 ,18 ,43 ,71 ,54 ,112 ,150 ,127 ,112 ,131 ,183 ,152 ,17 
,O ,0 O ,1 ,2 ,1 ,O ,0 ,O O ,O ,O ,O ,1 ,4 ,5 ,9 ,7 ,O ,O ,0 ,1 ,O 
,O ,O O ,9 ,13 ,13 ,7 ,9 ,1 4 ,16 ,6 ,8 ,15 ,53 ,63 ,65 ,33 ,13 ,15 ,25 ,44 ,3 
,O ,O O ,O ,0 ,1 ,O ,O ,O O ,1 ,4 ,6 ,11 ,21 ,13 ,28 ,34 ,14 ,7 ,7 ,3 ,1 
,O ,O O ,O ,5 ,O ,1 ,1 ,1 2 ,4 ,3 ,5 ,12 ,3 ,20 ,40 ,20 ,46 ,33 ,6 ,7 ,3 
Desconocido & ,O ,O O ,1 ,O ,O ,O ,O ,O O ,2 ,4 ,6 ,6 ,9 ,8 ,28 ,39 ,8 ,11 ,11 ,18 ,16 
,1 ,2 29 ,140 ,164 ,155 ,102 ,101 ,69 88 ,213 ,259 ,515 ,759 ,834 ,1268 ,1674 ,1442 ,1128 ,1071 ,1124 ,1011 ,183 
