Penco,&49865,1252,2510.8,93,186.5,93,186.5
Quilaco ,4179 ,39 ,933.2 ,5 ,119.6 ,5 ,119.6 
Quilleco ,10032 ,105 ,1046.7 ,5 ,49.8 ,5 ,49.8 
San Pedro de la Paz ,& 145906 ,2040 ,1398.2 ,158 ,108.3 ,157 ,107.6 
San Rosendo ,3611 ,30 ,830.8 ,4 ,110.8 ,4 ,110.8 
Santa Barbara ,14592 ,204 ,1398.0 ,3 ,20.6 ,3 ,20.6 
Santa Juana ,& 14779 ,192 ,1299.1 ,17 ,115.0 ,17 ,115.0 
Talcahuano ,& 158345 ,2973 ,1877.5 ,184 ,116.2 ,184 ,116.2 
Tirua ,11019 ,58 ,526.4 ,3 ,27.2 ,3 ,27.2 
Tome ,& 58729 ,1203 ,2048.4 ,111 ,189.0 ,111 ,189.0 
Tucapel ,& 15205 ,192 ,1262.7 ,11 ,72.3 ,11 ,72.3 
Yumbel ,22132 ,275 ,1242.5 ,16 ,72.3 ,16 ,72.3 
Desconocido ,& - ,177 ,- ,9 ,- ,9 ,- 
Total ,1663696 ,26321 ,1582.1 ,2303 ,138.4 ,2298 ,138.1 
