Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,& 6775 ,172 ,2538.7 ,O ,0.0 ,1 ,14.8 ,1 ,14.8 
Antuco ,4306 ,62 ,1439.9 ,1 ,23.2 ,7 ,162.6 ,7 ,162.6 
Arauco ,38679 ,384 ,992.8 ,2 ,5.2 ,72 ,186.1 ,72 ,186.1 
Cabrero ,30725 ,148 ,481.7 ,2 ,6.5 ,7 ,22.8 ,7 ,22.8 
Canete ,37003 ,115 ,310.8 ,O ,0.0 ,44 ,118.9 ,44 ,118.9 
Chiguayante ,& 91180 ,597 ,654.7 ,11 ,12.1 ,86 ,94.3 ,86 ,94.3 
Concepcion ,& 238092 ,1772 ,744.3 ,28 ,11.8 ,186 ,78.1 ,186 ,78.1 
Contulmo ,6330 ,46 ,726.7 ,O ,0.0 ,1 ,15.8 ,1 ,15.8 
Coronel ,& 125829 ,1368 ,1087.2 ,6 ,4.8 ,141 ,112.1 ,140 ,111.3 
Curanilahue ,33892 ,197 ,581.3 ,1 ,3.0 ,31 ,91.5 ,31 ,91.5 
Florida ,11841 ,59 ,498.3 ,3 ,25.3 ,19 ,160.5 ,19 ,160.5 
Hualpen ,& 97273 ,765 ,786.4 ,7 ,7.2 ,76 ,78.1 ,75 ,77.1 
Hualqui ,26201 ,217 ,828.2 ,3 ,11.4 ,24 ,91.6 ,24 ,91.6 
Laja ,23873 ,182 ,762.4 ,0 ,0.0 ,21 ,88.0 ,21 ,88.0 
Lebu ,27100 ,43 ,158.7 ,0 ,0.0 ,5 ,18.5 ,5 ,18.5 
Los Alamos ,22524 ,136 ,603.8 ,O ,0.0 ,22 ,97.7 ,22 ,97.7 
LOs Angeles ,218515 ,1177 ,538.6 ,8 ,3.7 ,99 ,45.3 ,99 ,45.3 
Lota ,& 45750 ,434 ,948.6 ,2 ,4.4 ,53 ,115.8 ,53 ,115.8 
Mulchen ,& 31041 ,131 ,422.0 ,O ,0.0 ,3 ,9.7 ,3 ,9.7 
Nacimiento ,27944 ,166 ,594.0 ,4 ,14.3 ,5 ,17.9 ,5 ,17.9 
Negrete ,10429 ,132 ,1265.7 ,2 ,19.2 ,6 ,57.5 ,6 ,57.5 
