Region,Poblacion,Confirmados,Tasaincidencia
Arica y Parinacota ,252110 ,30 ,11.9 
Tarapaca ,382773 ,22 ,5.7 
Antofagasta ,691854 ,71 ,10.3 
Atacama ,314709 ,5 ,1.6 
Coquimbo ,836096 ,54 ,6.5 
Valparaiso ,1960170 ,195 ,9.9 
Metropolitana ,8125072 ,2208 ,27.2 
O'Higgins ,991063 ,42 ,4.2 
Maule ,1131939 ,110 ,9.7 
Nuble ,511551 ,413 ,80.7 
Biobio ,1663696 ,219 ,13.2 
Araucania ,1014343 ,412 ,40.6 
Los Rios ,405835 ,99 ,24.4 
Los Lagos ,891440 ,284 ,31.9 
Aisen ,107297 ,5 ,4.7 
Magallanes ,178362 ,153 ,85.8 
Por determinar ,- ,24 ,
Total pais ,19458310 ,4346 ,22.2 
