Peumo,14952,100,668.8,7,46.8,25,167.2,25,167.2
Pichidegua ,20743 ,270 ,1301.6 ,5 ,24.1 ,82 ,395.3 ,82 ,395.3 
Pichilemu ,17882 ,55 ,307.6 ,O ,0.0 ,1 ,5.6 ,1 ,5.6 
Placilla ,9164 ,72 ,785.7 ,O ,0.0 ,8 ,87.3 ,8 ,87.3 
Pumanque ,3531 ,5 ,141.6 ,1 ,28.3 ,1 ,28.3 ,1 ,28.3 
Quinta de Tilcoco ,13877 ,128 ,922.4 ,4 ,28.8 ,7 ,50.4 ,7 ,50.4 
Rancagua ,& 265211 ,6070 ,2288.7 ,121 ,45.6 ,351 ,132.3 ,349 ,131.6 
Rengo ,& 63710 ,1170 ,1836.4 ,29 ,45.5 ,125 ,196.2 ,124 ,194.6 
Requinoa ,30371 ,431 ,1419.1 ,8 ,26.3 ,23 ,75.7 ,23 ,75.7 
San Fernando ,& 78642 ,598 ,760.4 ,9 ,11.4 ,106 ,134.8 ,106 ,134.8 
,,,,,,,,,
,,,,,,,,,
Desconocido ,& - ,86 ,- ,O ,- ,2 ,- ,2 ,- 
Total ,991063 ,14403 ,1453.3 ,293 ,29.6 ,1282 ,129.4 ,1279 ,129.1 
,,,,,,,,,
,SE SE SE SE ,SE SE SE SE ,SE SE SE ,SE SE SE ,SE SE ,SE ,SE SE SE ,SE SE SE ,SE SE SE 
Comuna ,9 10 11 12 ,13 14 15 ,16 17 18 19 ,20 21 22 ,23 24 ,25 ,26 27 28 ,29 30 31 ,32 33 34 
Chepica ,& 1 O O O ,O O O ,O O O 1 ,6 O ,4 6 22 ,18 ,20 16 26 ,17 13 2 ,5 5 O 
,,,,,,,,,
Codegua ,0 O O 1 ,O O O ,O O O 1 ,3 7 ,10 13 17 ,21 ,34 24 27 ,29 23 10 ,9 3 O 
,,,,,,,,,
Coltauco ,O 0 O 0 ,O O O ,O O 0 15 ,9 13 ,4 4 9 ,20 ,22 17 26 ,31 46 27 ,32 4 0 
,,,,,,,,,
