Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,4183 ,21.5 ,13.5 
XV Arica y Parinacota ,41 ,163 ,10.9 
ITarapaca ,40 ,10.5 ,8.9 
II Antofagasta ,137 ,19.8 ,18.4 
III Atacama ,31 ,99 ,6.5 
IV Coquimbo ,55 ,6.6 ,3.8 
VValparaiso ,399 ,20.4 ,10.9 
Region Metropolitana ,2461 ,30.3 ,20.7 
VI O'Higgins ,151 ,15.2 ,9.2 
VII Maule ,228 ,20.1 ,11.6 
XVI De Nuble ,53 ,10.4 ,5.0 
VIII Del Biobio ,231 ,13.9 ,8.4 
IX Araucania ,157 ,15.5 ,8.5 
XIV Los Rios ,28 ,6.9 ,3.4 
X Los Lagos ,114 ,12.8 ,8.2 
XI Aysen ,4 ,3.7 ,2.4 
XII Magallanes y la Antartica ,52 ,292 ,17.6 
Ignorada ,1 ,0.0 ,0.0 
