Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antartica ,137 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Cabo de Hornos ,1983 ,28 ,1412.0 ,1 ,50.4 ,1 ,50.4 
Laguna Blanca ,264 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Natales ,23782 ,130 ,546.6 ,59 ,248.1 ,59 ,248.1 
Porvenir ,& 7323 ,84 ,1147.1 ,23 ,314.1 ,23 ,314.1 
Primavera ,694 ,8 ,1152.7 ,2 ,288.2 ,2 ,288.2 
Punta Arenas ,& 141984 ,4421 ,3113.7 ,1359 ,957.2 ,1354 ,953.6 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,O ,0.0 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,0 ,0.0 
Timaukel ,282 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Torres del Paine ,1021 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Desconocido ,& - ,21 ,- ,13 ,- ,13 ,- 
Total ,178362 ,4694 ,2631.7 ,1457 ,816.9 ,1452 ,814.1 
