Comuna,Poblacion,Confirmados,Tasadeincidencia
Angol ,56058 ,12 ,21.4 
Carahue ,25486 ,- ,7.8 
Cholchol ,12341 ,- ,24.3 
Collipulli ,26148 ,- ,0.0 
Cunco ,18055 ,- ,0.0 
Curacautin ,18178 ,- ,0.0 
Curarrehue ,7802 ,- ,38.5 
Ercilla ,8458 ,- ,0.0 
Freire ,25446 ,5 ,19.6 
Galvarino ,12633 ,- ,7.9 
Gorbea ,15148 ,7 ,46.2 
Lautaro ,40746 ,10 ,24.5 
Loncoche ,24739 ,4 ,16.2 
Lonquimay ,11049 ,- ,0.0 
LOs Sauces ,7517 ,- ,0.0 
Lumaco ,10050 ,- ,0.0 
Melipeuco ,6265 ,- ,0.0 
Nueva Imperial ,33777 ,11 ,32.6 
Padre Las Casas ,82110 ,33 ,40.2 
Perquenco ,7223 ,- ,27.7 
Pitrufquen ,26096 ,7 ,26.8 
Pucon ,29782 ,- ,10.1 
Puren ,12188 ,- ,8.2 
Renaico ,10833 ,- ,0.0 
Saavedra ,12793 ,- ,7.8 
Temuco ,302931 ,293 ,96.7 
Teodoro Schmidt ,15786 ,- ,12.7 
Tolten ,10055 ,4 ,39.8 
Traiguen ,19314 ,- ,0.0 
Victoria ,35467 ,11 ,31.0 
Vilcun ,30766 ,11 ,35.8 
Villarrica ,59103 ,6 ,10.2 
Total ,1014343 ,432 ,42.6 
