Peumo,14952,52,347.8,3,20.1,22,,147.1
Pichidegua ,20743 ,127 ,612.3 ,4 ,19.3 ,24 ,,115.7 
Pichilemu ,17882 ,53 ,296.4 ,O ,0.0 ,14 ,,78.3 
Placilla ,9164 ,56 ,611.1 ,O ,0.0 ,5 ,,54.6 
Pumanque ,3531 ,4 ,113.3 ,0 ,0.0 ,0 ,,0.0 
Quinta de Tilcoco ,13877 ,86 ,619.7 ,3 ,21.6 ,15 ,,108.1 
Rancagua & ,265211 ,5269 ,1986.7 ,78 ,29.4 ,550 ,,207.4 
Rengo & ,63710 ,855 ,1342.0 ,10 ,15.7 ,201 ,,315.5 
Requinoa & ,30371 ,347 ,1142.5 ,6 ,19.8 ,48 ,,158.0 
San Fernando ,78642 ,355 ,451.4 ,6 ,7.6 ,73 ,,92.8 
San Vicente & ,50617 ,343 ,677.6 ,7 ,13.8 ,51 ,,100.8 
Santa Cruz & ,41096 ,150 ,365.0 ,6 ,14.6 ,27 ,,65.7 
Desconocido & ,- ,90 ,- ,O ,- ,26 ,,- 
Total ,991063 ,11283 ,1138.5 ,180 ,18.2 ,1521 ,,153.5 
,,,,,,,,
Comuna ,SE SE SE SE ,SE SE SE ,SE SE SE SE ,SE SE SE ,SE SE ,SE ,SE ,SE SE SE 
,9 10 11 12 ,13 14 15 ,16 17 18 19 ,20 21 22 ,23 24 ,25 ,26 ,27 28 29 
Chepica & ,1 O O 0 ,O O O ,O O O 1 ,6 O 4 ,6 22 ,19 ,20 ,17 28 11 
Chimbarongo ,0 0 O 2 ,1 O O ,O 1 1 5 ,13 8 7 ,12 18 ,18 ,29 ,21 14 7 
Codegua ,O 0 O 1 ,O O O ,O 0 O 1 ,3 7 11 ,13 17 ,21 ,34 ,23 27 12 
Coinco & ,O O O O ,O O 0 ,O 1 O 4 ,10 8 3 ,5 7 ,19 ,9 ,15 12 6 
Coltauco ,O 0 O O ,O O O ,O O O 15 ,9 13 4 ,4 9 ,21 ,23 ,17 24 10 
Donihue & ,O 0 O O ,O 0 O ,1 1 5 12 ,16 14 10 ,21 31 ,67 ,59 ,55 43 22 
Graneros & ,0 0 0 1 ,0 0 0 ,O 3 7 13 ,22 24 23 ,32 47 ,66 ,66 ,58 42 15 
La Estrella ,0 0 O 0 ,O O O ,O 0 O 0 ,0 O 1 ,4 6 ,2 ,12 ,6 0 2 
Las Cabras & ,O O O O ,O O 1 ,2 4 3 2 ,4 3 5 ,9 17 ,29 ,41 ,28 28 5 
Litueche ,O 0 0 0 ,O O O ,1 5 2 2 ,3 O 1 ,6 15 ,21 ,6 ,8 3 1 
