,,,,,,,,Numero,deCasossegun,FechadeInicio,deSintomas.NotificacionoTomadeMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE SE SE SE SE 13 14 15 16 17 18 19 20 21 ,SE SE 22 23 ,24 ,SE SE SE SE 25 26 27 28 
Ancud& ,42458 ,100 ,235.5 ,1 ,2.4 ,O ,0.0 ,0 ,0.0 ,0 0 0 0 ,1 0 6 3 1 21 19 23 10 ,2 4 ,4 ,1 5 0 0 
Calbuco& ,36744 ,111 ,302.1 ,1 ,2.7 ,53 ,144.2 ,53 ,144.2 ,0 0 0 3 ,1 1 1 1 0 0 1 0 0 ,1 0 ,2 ,19 43 35 3 
Castro ,47607 ,9 ,18.9 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O 0 2 ,0 5 O 0 0 0 1 O 0 ,0 0 ,1 ,0 0 0 0 
Chaiten ,5020 ,1 ,19.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,1 0 0 0 0 0 0 0 0 ,0 0 ,0 ,0 0 0 0 
Chonchi ,16013 ,1 ,6.2 ,O ,0.0 ,1 ,6.2 ,1 ,6.2 ,0 0 0 0 ,O 0 0 0 0 0 O 0 O ,0 0 ,0 ,0 1 O 0 
Cochamo ,4006 ,8 ,199.7 ,0 ,0.0 ,3 ,74.9 ,3 ,74.9 ,0 0 0 0 ,O 0 1 0 0 0 O O 0 ,0 0 ,0 ,1 6 O O 
Curaco de Velez ,4066 ,17 ,418.1 ,0 ,0.0 ,9 ,221.3 ,9 ,221.3 ,0 0 0 0 ,0 0 0 0 0 0 0 0 0 ,0 0 ,1 ,0 12 2 2 
Dalcahue ,15069 ,7 ,46.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 0 0 0 0 1 3 2 ,0 0 ,1 ,0 0 O 0 
Fresia ,12656 ,23 ,181.7 ,1 ,7.9 ,12 ,94.8 ,12 ,94.8 ,0 0 0 0 ,0 0 0 0 0 0 0 O O ,0 0 ,7 ,1 6 9 0 
Frutillar& ,20223 ,141 ,697.2 ,0 ,0.0 ,75 ,370.9 ,75 ,370.9 ,0 0 0 0 ,1 3 2 O 0 0 1 O 3 ,2 3 ,7 ,23 35 55 6 
Futaleufu ,2806 ,1 ,35.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 0 0 0 0 0 1 0 ,0 0 ,0 ,0 0 0 0 
Hualaihue ,9525 ,12 ,126.0 ,0 ,0.0 ,2 ,21.0 ,2 ,21.0 ,O O 0 0 ,3 0 0 0 0 0 0 0 0 ,1 1 ,1 ,3 1 2 0 
Llanquihue& ,18621 ,70 ,375.9 ,1 ,5.4 ,23 ,123.5 ,23 ,123.5 ,O O 0 0 ,1 O 0 O 0 0 5 O O ,4 3 ,12 ,18 7 17 3 
Los Muermos& ,17817 ,38 ,213.3 ,O ,0.0 ,18 ,101.0 ,18 ,101.0 ,0 0 0 1 ,O O 0 0 0 0 1 O 0 ,0 1 ,1 ,13 7 13 1 
Maullin ,14894 ,41 ,275.3 ,0 ,0.0 ,21 ,141.0 ,21 ,141.0 ,0 O 0 0 ,0 0 1 0 0 0 0 5 9 ,0 0 ,1 ,2 5 11 7 
Osorno& ,173410 ,500 ,288.3 ,12 ,6.9 ,30 ,17.3 ,30 ,17.3 ,0 O 3 59 ,104 64 36 18 15 24 17 8 20 ,30 23 ,26 ,17 11 19 6 
Palena ,1827 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 0 ,0 O 0 0 0 0 0 0 0 ,0 0 ,0 ,0 0 O 0 
Puerto Montt& ,269398 ,854 ,317.0 ,6 ,2.2 ,261 ,96.9 ,261 ,96.9 ,0 1 2 14 ,18 11 3 5 1 1 9 20 57 ,59 74 ,100 ,124 150 169 36 
Puerto Octay ,9192 ,8 ,87.0 ,0 ,0.0 ,1 ,10.9 ,1 ,10.9 ,0 0 0 1 ,0 0 0 1 1 0 2 O O ,0 0 ,0 ,0 3 0 O 
Puerto Varas ,48620 ,95 ,195.4 ,1 ,2.1 ,14 ,28.8 ,14 ,28.8 ,0 0 1 0 ,2 3 2 1 0 0 1 4 7 ,8 21 ,9 ,10 16 8 2 
