,SESESESESESESE,SESESE,SESESESE,SESE,SE,SE,SE,SE,SESE,SE,SE,SESE,SE
Comuna ,9 10 11 12 13 14 15 ,16 17 18 ,19 20 21 22 ,23 24 ,25 ,26 ,27 ,28 ,29 30 ,31 ,32 ,33 34 ,35 
Alto del Carmen ,O 0 O O O O O ,O O O ,O O O 1 ,3 1 ,1 ,1 ,1 ,2 ,1 O ,O ,6 ,14 4 ,O 
Caldera ,& O O O O O O O ,O O 2 ,2 1 1 4 ,2 7 ,5 ,14 ,7 ,6 ,19 20 ,26 ,55 ,30 32 ,O 
Chanaral ,O O O O O O O ,O O O ,O O 1 O ,2 6 ,12 ,2 ,4 ,9 ,6 12 ,9 ,9 ,17 O ,O 
Copiapo ,& O O 2 O 3 1 4 ,O 12 28 ,27 14 26 58 ,115 121 ,146 ,155 ,175 ,197 ,300 509 ,652 ,648 ,379 150 ,O 
Diego de Almagro ,& 1 O O O 1 O O ,O O 1 ,1 4 3 6 ,3 9 ,4 ,2 ,10 ,6 ,1 5 ,1 ,10 ,43 15 ,O 
Freirina ,O O O O O O O ,1 O O ,O O O O ,2 1 ,5 ,3 ,10 ,23 ,6 4 ,7 ,22 ,27 8 ,O 
Huasco ,O O O O O O O ,O 0 1 ,O O O 2 ,6 3 ,4 ,6 ,3 ,O ,2 8 ,9 ,2 ,11 5 ,O 
Tierra Amarilla ,& O O O O O 2 3 ,O 2 5 ,10 2 O 1 ,10 15 ,11 ,5 ,14 ,22 ,23 40 ,49 ,50 ,33 13 ,O 
Vallenar ,& O O O O O O 1 ,8 12 10 ,13 3 6 16 ,27 55 ,66 ,54 ,74 ,60 ,34 33 ,38 ,38 ,58 29 ,O 
Desconocido ,& O O O O O O O ,O O O ,O O O O ,O O ,9 ,1 ,2 ,1 ,3 2 ,O ,11 ,2 2 ,O 
Total ,1 0 2 0 4 3 8 ,9 26 47 ,53 24 37 88 ,170 218 ,263 ,243 ,300 ,326 ,395 633 ,791 ,851 ,614 258 ,O 
