Pucon,29782,18,60.4,3,10.1,3,10.1,O01,30,4,3,1,3,02
Puren ,12188 ,7 ,57.4 ,1 ,8.2 ,1 ,8.2 ,0 0 0 ,0 2 ,0 ,0 ,2 ,0 ,2 1 
Renaico ,10833 ,16 ,147.7 ,4 ,36.9 ,3 ,27.7 ,O O 0 ,O O ,1 ,3 ,2 ,1 ,4 3 
Saavedra& ,12793 ,74 ,578.4 ,23 ,179.8 ,23 ,179.8 ,O 0 1 ,1 0 ,1 ,5 ,8 ,17 ,14 17 
Temuco& ,302931 ,782 ,258.1 ,74 ,24.4 ,74 ,24.4 ,0 4 26 ,155 176 ,129 ,107 ,58 ,22 ,26 47 
Teodoro Schmidt ,15786 ,5 ,31.7 ,O ,0.0 ,O ,0.0 ,O 0 0 ,1 2 ,0 ,1 ,1 ,O ,0 O 
Tolten ,10055 ,8 ,79.6 ,0 ,0.0 ,0 ,0.0 ,O O 0 ,4 2 ,2 ,0 ,O ,O ,0 O 
Traiguen ,19314 ,5 ,25.9 ,3 ,15.5 ,3 ,15.5 ,O 0 0 ,O O ,1 ,O ,1 ,0 ,0 1 
Victoria ,35467 ,80 ,225.6 ,2 ,5.6 ,2 ,5.6 ,O 0 1 ,2 9 ,2 ,3 ,28 ,21 ,11 2 
Vilcun ,30766 ,60 ,195.0 ,10 ,32.5 ,10 ,32.5 ,O 0 0 ,6 11 ,14 ,7 ,3 ,5 ,4 5 
Villarrica ,59103 ,22 ,37.2 ,2 ,3.4 ,2 ,3.4 ,0 0 0 ,2 10 ,6 ,1 ,0 ,1 ,0 1 
Total ,1014343 ,1633 ,161.0 ,209 ,20.6 ,207 ,20.4 ,1 5 32 ,216 293 ,240 ,195 ,198 ,131 ,97 135 
