Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Antartica ,,,,
Cabo de Hornos ,970 ,,985 ,
Laguna Blanca ,100 ,,100 ,
Natales ,704 ,14 ,892 ,100 
Porvenir ,938 ,29 ,858 ,875 
Primavera ,00 ,,100 ,
Punta Arenas ,348 ,114 ,962 ,977 
Rio Verde ,,,,
San Gregorio ,,,,
Timaukel ,,,,
Torres del Paine ,,,,
Total ,446 ,95 ,946 ,974 
