Peumo,&,14952,71,474.9,5,33.4,7,,46.8,7
Pichidegua ,& ,20743 ,166 ,800.3 ,4 ,19.3 ,23 ,,110.9 ,23 
Pichilemu ,,17882 ,54 ,302.0 ,0 ,0.0 ,O ,,0.0 ,0 
Placilla ,,9164 ,64 ,698.4 ,O ,0.0 ,2 ,,21.8 ,2 
Pumanque ,,3531 ,4 ,113.3 ,1 ,28.3 ,O ,,0.0 ,O 
Quinta de Tilcoco ,& ,13877 ,112 ,807.1 ,3 ,21.6 ,12 ,,86.5 ,12 
Rancagua ,& ,265211 ,5660 ,2134.1 ,109 ,41.1 ,205 ,,77.3 ,202 
Rengo ,& ,63710 ,996 ,1563.3 ,21 ,33.0 ,73 ,,114.6 ,71 
Requinoa ,& ,30371 ,401 ,1320.3 ,7 ,23.0 ,30 ,,98.8 ,29 
Fernando ,& ,78642 ,472 ,600.2 ,8 ,10.2 ,68 ,,86.5 ,68 
Vicente ,,50617 ,475 ,938.4 ,11 ,21.7 ,54 ,,106.7 ,53 
Santa Cruz ,& ,41096 ,207 ,503.7 ,7 ,17.0 ,41 ,,99.8 ,41 
Desconocido ,& ,- ,101 ,- ,O ,- ,21 ,,- ,21 
Total ,,991063 ,12835 ,1295.1 ,253 ,25.5 ,868 ,,87.6 ,861 
,,,,,,,,,,
Comuna ,,SE SE SE SE ,SE SE SE ,SE SE SE SE ,SE SE ,SE SE SE ,SE ,SE ,SE SE SE ,SE SE 
,,9 10 11 12 ,13 14 15 ,16 17 18 19 ,20 21 ,22 23 24 ,25 ,26 ,27 28 29 ,30 31 
Chepica ,& ,1 O 0 0 ,O 0 0 ,O O O 1 ,6 O ,4 6 22 ,18 ,20 ,16 26 18 ,11 2 
Chimbarongo ,& ,0 0 0 2 ,1 0 0 ,O 1 1 5 ,13 8 ,7 12 18 ,19 ,29 ,22 16 16 ,13 5 
Codegua ,& ,O O O 1 ,O O 0 ,O O O 1 ,3 7 ,10 13 17 ,21 ,34 ,24 27 29 ,15 4 
Coinco ,,O O O O ,O 0 O ,O 1 O 4 ,11 8 ,3 5 7 ,20 ,9 ,15 12 11 ,4 6 
Coltauco ,,O 0 0 0 ,O 0 O ,O 0 0 15 ,9 13 ,4 4 9 ,20 ,22 ,17 26 30 ,41 16 
Donihue ,& ,O 0 0 0 ,1 0 0 ,1 1 5 12 ,16 14 ,11 20 32 ,68 ,59 ,56 44 35 ,21 18 
Graneros ,,O 0 O 1 ,0 O 0 ,0 3 7 14 ,21 24 ,25 33 51 ,65 ,67 ,60 47 32 ,10 8 
Estrella ,,O O O 0 ,O O O ,O O O 0 ,O O ,1 4 6 ,2 ,12 ,6 O 3 ,1 1 
Cabras ,& ,0 0 0 0 ,O O 1 ,2 4 3 2 ,4 3 ,5 9 17 ,29 ,41 ,28 29 15 ,12 7 
Litueche ,& ,0 0 0 0 ,0 0 0 ,1 5 2 2 ,3 0 ,1 6 15 ,21 ,8 ,6 3 2 ,6 1 
