Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& ,425725 ,6378 ,1498.2 ,103 ,24.2 ,830 ,195.0 ,825 ,193.8 
Calama ,& ,190336 ,5884 ,3091.4 ,167 ,87.7 ,495 ,260.1 ,494 ,259.5 
Maria Elena ,,6814 ,301 ,4417.4 ,10 ,146.8 ,13 ,190.8 ,13 ,190.8 
Mejillones ,,14776 ,443 ,2998.1 ,4 ,27.1 ,21 ,142.1 ,21 ,142.1 
Ollague ,& ,287 ,21 ,7317.1 ,O ,0.0 ,10 ,3484.3 ,10 ,3484.3 
San Pedro de Atacama ,& ,10434 ,219 ,2098.9 ,4 ,38.3 ,55 ,527.1 ,55 ,527.1 
Sierra Gorda ,,1746 ,60 ,3436.4 ,O ,0.0 ,9 ,515.5 ,9 ,515.5 
Taltal ,,13657 ,113 ,827.4 ,2 ,14.6 ,27 ,197.7 ,27 ,197.7 
Tocopilla ,,28079 ,253 ,901.0 ,6 ,21.4 ,26 ,92.6 ,25 ,89.0 
Desconocido ,& ,- ,196 ,- ,O ,- ,67 ,- ,67 ,- 
Total ,,691854 ,13868 ,2004.5 ,296 ,42.8 ,1553 ,224.5 ,1546 ,223.5 
