ZonadeChile,Poblacion,CasosAcumulados,CasosFallecidos,Tasaincidenciaacumulada,Tasamortalidadacumulada,TasaLetalidad
Region de Arica y Parinacota ,252110 ,1139 ,11 ,451.8 ,4.4 ,1.0% 
Region de Tarapaca ,382773 ,4258 ,58 ,1112.4 ,15.2 ,1.4% 
Region de Antofagasta ,691854 ,4556 ,72 ,658.5 ,10.4 ,1.6% 
Region de Atacama ,314709 ,484 ,0 ,153.8 ,0.0 ,0.0% 
Region de Coquimbo ,836096 ,1676 ,10 ,200.5 ,1.2 ,0.6% 
Region de Valparaiso ,1960170 ,7012 ,126 ,357.7 ,6.4 ,1.8% 
Region Metropolitana de Santiago ,8125072 ,144280 ,2913 ,1775.7 ,35.9 ,2.0% 
Region de Libertador Genera Bernardo OHiggins ,991063 ,2012 ,35 ,203.0 ,3.5 ,1.7% 
Region de Maule ,1131939 ,3091 ,23 ,273.1 ,2.0 ,0.7% 
Region del Nuble ,511551 ,1832 ,22 ,358.1 ,4.3 ,1.2% 
Region del Biobio ,1663696 ,3460 ,19 ,208.0 ,1.1 ,0.5% 
Region de la Araucania ,1014343 ,2728 ,36 ,268.9 ,3.5 ,1.3% 
Region de Los Rios ,405835 ,529 ,9 ,130.3 ,2.2 ,1.7% 
Region de LOs Lagos ,891440 ,1168 ,13 ,131.0 ,1.5 ,1.1% 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,26 ,0 ,24.2 ,0.0 ,0.0% 
Region de Magallanes y la Antartica Chilena ,178362 ,1185 ,15 ,664.4 ,8.4 ,1.3% 
Total pais ,19458310 ,179436 ,3362 ,922.2 ,17.3 ,1.9% 
