,SESESE,SESESE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE
Comuna ,9 10 11 ,12 13 14 ,15 ,16 ,17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 30 
Antofagasta ,& 0 1 2 ,28 31 41 ,59 ,110 ,161 215 ,313 ,313 ,304 ,354 ,502 ,602 ,704 ,785 ,905 ,711 ,237 0 
Calama ,& 1 O 2 ,3 3 9 ,18 ,17 ,40 54 ,93 ,235 ,285 ,445 ,815 ,997 ,915 ,734 ,648 ,408 ,162 0 
Maria Elena ,1 O O ,O O 0 ,5 ,9 ,16 45 ,42 ,30 ,13 ,12 ,11 ,7 ,41 ,29 ,27 ,7 ,6 0 
Mejillones ,0 O O ,O 1 8 ,15 ,18 ,30 76 ,45 ,51 ,19 ,19 ,10 ,17 ,38 ,49 ,25 ,15 ,7 0 
Ollague ,& 0 O O ,O O O ,O ,O ,O O ,O ,O ,O ,O ,O ,2 ,6 ,1 ,2 ,5 ,5 0 
San Pedro de Atacama ,& O O O ,2 1 1 ,O ,O ,1 O ,O ,2 ,4 ,4 ,18 ,21 ,34 ,35 ,35 ,33 ,28 O 
Sierra Gorda ,O O O ,O O O ,O ,O ,O 3 ,5 ,5 ,3 ,12 ,6 ,8 ,3 ,4 ,2 ,5 ,4 O 
Taltal ,0 O O ,O O 2 ,3 ,2 ,1 1 ,3 ,12 ,6 ,9 ,7 ,9 ,12 ,7 ,11 ,21 ,7 0 
Tocopilla ,O O O ,2 O 4 ,5 ,O ,1 2 ,7 ,8 ,8 ,4 ,6 ,25 ,50 ,61 ,43 ,21 ,6 0 
Desconocido ,& 0 O O ,O O O ,O ,O ,5 O ,1 ,1 ,O ,O ,5 ,10 ,41 ,30 ,32 ,33 ,38 O 
Total ,2 1 4 ,35 36 65 ,105 ,156 ,255 396 ,509 ,657 ,642 ,859 ,1380 ,1698 ,1844 ,1735 ,1730 ,1259 ,500 0 
