Grupoedad,Hombre,Mujer
00 04 anos ,2565 ,2304 
05 09 anos ,1981 ,1868 
10 14 anos ,2307 ,2346 
15 19 anos ,4088 ,4627 
20 24 anos ,11420 ,11208 
25 29 anos ,18389 ,17766 
30 34 anos ,18717 ,16546 
35 39 anos ,15565 ,13271 
40 44 anos ,12870 ,11115 
45 49 anos ,12469 ,11658 
50 54 anos ,11944 ,10969 
55 59 anos ,11169 ,9876 
60 64 anos ,8304 ,6861 
65 69 anos ,5138 ,4506 
70 74 anos ,3591 ,3428 
75 79 anos ,2473 ,2575 
80 y mas anos ,2788 ,4444 
