Papudo,6201,O,0.0,O,0.0,O,0.0,O,0,0,00,0,0,0,O,O,0
Petorca ,10558 ,6 ,56.8 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,1 4 ,1 ,0 ,0 ,O ,O ,O 
Puchuncavi ,20071 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 0 ,0 ,0 ,O ,O ,O ,0 
Putaendo ,17645 ,6 ,34.0 ,1 ,5.7 ,1 ,5.7 ,O ,O ,O ,1 0 ,O ,1 ,3 ,1 ,O ,O 
Quillota ,97572 ,26 ,26.6 ,4 ,4.1 ,4 ,4.1 ,O ,1 ,O ,3 7 ,3 ,6 ,1 ,4 ,1 ,O 
Quilpue ,167085 ,40 ,23.9 ,8 ,4.8 ,8 ,4.8 ,0 ,1 ,3 ,4 8 ,7 ,4 ,4 ,8 ,1 ,O 
Quintero ,36135 ,10 ,27.7 ,1 ,2.8 ,1 ,2.8 ,O ,0 ,O ,3 0 ,0 ,0 ,6 ,1 ,O ,O 
Rinconada ,11263 ,2 ,17.8 ,O ,0.0 ,O ,0.0 ,O ,0 ,0 ,0 0 ,2 ,0 ,0 ,O ,O ,0 
San Antonio ,96761 ,86 ,88.9 ,35 ,36.2 ,34 ,35.1 ,O ,0 ,0 ,0 5 ,14 ,10 ,21 ,27 ,9 ,O 
San Esteban ,20643 ,3 ,14.5 ,2 ,9.7 ,2 ,9.7 ,0 ,0 ,O ,O 0 ,O ,0 ,1 ,2 ,O ,O 
San Felipe ,83494 ,9 ,10.8 ,2 ,2.4 ,2 ,2.4 ,0 ,0 ,0 ,3 2 ,1 ,0 ,0 ,2 ,1 ,0 
Santa Maria ,16367 ,16 ,97.8 ,13 ,79.4 ,13 ,79.4 ,O ,0 ,O ,0 2 ,0 ,O ,1 ,4 ,9 ,0 
Santo Domingo ,11934 ,22 ,184.3 ,5 ,41.9 ,5 ,41.9 ,O ,0 ,2 ,1 0 ,6 ,4 ,4 ,4 ,1 ,0 
Valparaiso ,315732 ,109 ,34.5 ,40 ,12.7 ,40 ,12.7 ,O ,1 ,2 ,10 15 ,12 ,16 ,12 ,20 ,21 ,O 
Villa Alemana ,139310 ,19 ,13.6 ,5 ,3.6 ,5 ,3.6 ,O ,0 ,1 ,7 3 ,2 ,0 ,1 ,4 ,1 ,0 
Vina del Mar ,361371 ,135 ,37.4 ,30 ,8.3 ,29 ,8.0 ,O ,0 ,6 ,21 27 ,21 ,12 ,18 ,18 ,12 ,O 
Zapallar ,7994 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,O O ,0 ,O ,O ,O ,O ,0 
Total ,1960170 ,646 ,33.0 ,176 ,9.0 ,174 ,8.9 ,0 ,4 ,15 ,72 101 ,94 ,80 ,96 ,121 ,63 ,0 
