Semanaepidemiologica,Activos,Recuperados,Tasaactivos
8 ,1 ,O ,0.0 
9 ,29 ,0 ,0.1 
10 ,113 ,1 ,0.6 
11 ,598 ,29 ,3.1 
12 ,2419 ,114 ,12.4 
13 ,4245 ,627 ,21.8 
14 ,4950 ,2533 ,25.4 
15 ,5508 ,4872 ,28.3 
16 ,6838 ,7483 ,35.1 
17 ,10214 ,10380 ,52.5 
18 ,20129 ,14321 ,103.4 
19 ,39517 ,20594 ,203.1 
20 ,59400 ,34450 ,305.3 
21 ,72127 ,60111 ,370.7 
