,Lonquimay,2,,2
,Nueva Imperia ,4 ,8 ,12 
,Padre Las Casas ,5 ,5 ,10 
,Perquenco ,,1 ,1 
,Pitrufquen ,,2 ,2 
,Pucon ,,3 ,3 
,Puren ,1 ,4 ,5 
,Renaico ,2 ,2 ,4 
,Saavedra ,,2 ,2 
,Temuco ,30 ,39 ,69 
,Teodoro Schmidt ,3 ,3 ,6 
,Tolten ,2 ,1 ,3 
,Traiguen ,1 ,3 ,4 
,Victoria ,7 ,7 ,14 
,Vilcun ,2 ,3 ,5 
,Villarrica ,1 ,2 ,3 
,La Union ,4 ,3 ,7 
,Lago Ranco ,1 ,1 ,2 
,Lanco ,,3 ,3 
,LOs Lagos ,1 ,1 ,2 
,Mafil ,,1 ,1 
Los Rios ,Mariquina ,,5 ,5 
,Paillaco ,1 ,,1 
,Panguipulli ,1 ,1 ,2 
,Rio Bueno ,,2 ,2 
,Valdivia ,7 ,5 ,12 
,Ancud ,1 ,8 ,9 
,Calbuco ,4 ,,4 
,Castro ,,2 ,2 
,Chonchi ,,1 ,1 
,Dalcahue ,1 ,1 ,2 
,Fresia ,2 ,3 ,5 
,Frutillar ,,4 ,4 
,Futaleufu ,,1 ,1 
,Hualaihue ,1 ,1 ,2 
,Llanquihue ,5 ,4 ,9 
,Los Muermos ,1 ,1 ,2 
Los Lagos ,Maullin ,1 ,3 ,4 
,Osorno ,20 ,4 ,24 
,Puerto Montt ,16 ,22 ,38 
,Puerto Octay ,1 ,,1 
,Puerto Varas ,1 ,4 ,5 
,Purranque ,3 ,4 ,7 
,Puyehue ,1 ,,1 
,Quellon ,1 ,1 ,2 
,Quinchao ,,2 ,2 
,Rio Negro ,1 ,8 ,9 
,San Juan de la Costa ,4 ,,4 
,San Pablo ,2 ,2 ,4 
,Aisen ,,1 ,1 
Aisen ,Chile Chico ,1 ,,1 
,Coihaique ,,3 ,3 
,Natales ,,15 ,15 
Magallanes ,Punta Arenas ,35 ,23 ,58 
Ignorada ,Ignorada ,1 ,1 ,2 
