LoEspejo&,103865,4321,4160.2,188,181.0,109,104.9,109,104.9
Lo Prado & ,104403 ,4944 ,4735.5 ,142 ,136.0 ,153 ,146.5 ,153 ,146.5 
Macul & ,134635 ,4998 ,3712.3 ,157 ,116.6 ,89 ,66.1 ,88 ,65.4 
Maipu & ,578605 ,14774 ,2553.4 ,393 ,67.9 ,372 ,64.3 ,369 ,63.8 
Maria Pinto & ,14926 ,379 ,2539.2 ,7 ,46.9 ,12 ,80.4 ,12 ,80.4 
Melipilla & ,141612 ,3885 ,2743.4 ,114 ,80.5 ,100 ,70.6 ,100 ,70.6 
Nunoa & ,250192 ,5524 ,2207.9 ,250 ,99.9 ,125 ,50.0 ,123 ,49.2 
Padre Hurtado & ,74188 ,2177 ,2934.4 ,52 ,70.1 ,53 ,71.4 ,53 ,71.4 
Paine & ,82766 ,1926 ,2327.0 ,44 ,53.2 ,77 ,93.0 ,77 ,93.0 
Pedro Aguirre Cerda & ,107803 ,4384 ,4066.7 ,207 ,192.0 ,94 ,87.2 ,94 ,87.2 
Penaflor & ,101058 ,2889 ,2858.8 ,112 ,110.8 ,72 ,71.2 ,72 ,71.2 
Penalolen & ,266798 ,11811 ,4426.9 ,314 ,117.7 ,206 ,77.2 ,205 ,76.8 
Pirque & ,30433 ,1121 ,3683.5 ,29 ,95.3 ,32 ,105.1 ,32 ,105.1 
Providencia & ,157749 ,3265 ,2069.7 ,155 ,98.3 ,95 ,60.2 ,95 ,60.2 
Pudahuel & ,253139 ,9869 ,3898.6 ,245 ,96.8 ,199 ,78.6 ,198 ,78.2 
Puente Alto & ,645909 ,23354 ,3615.7 ,573 ,88.7 ,613 ,94.9 ,611 ,94.6 
Quilicura & ,254694 ,9165 ,3598.4 ,149 ,58.5 ,178 ,69.9 ,178 ,69.9 
Quinta Normal & ,136368 ,6129 ,4494.5 ,172 ,126.1 ,204 ,149.6 ,204 ,149.6 
Recoleta & ,190075 ,8544 ,4495.1 ,301 ,158.4 ,167 ,87.9 ,167 ,87.9 
Renca & ,160847 ,8708 ,5413.8 ,242 ,150.5 ,311 ,193.4 ,311 ,193.4 
San Bernardo & ,334836 ,11251 ,3360.2 ,328 ,98.0 ,250 ,74.7 ,249 ,74.4 
San Joaquin & ,103485 ,5029 ,4859.6 ,155 ,149.8 ,111 ,107.3 ,111 ,107.3 
San Jose de Maipo ,18644 ,680 ,3647.3 ,20 ,107.3 ,14 ,75.1 ,14 ,75.1 
San Miguel & ,133059 ,5240 ,3938.1 ,139 ,104.5 ,129 ,96.9 ,128 ,96.2 
San Pedro ,11953 ,238 ,1991.1 ,4 ,33.5 ,14 ,117.1 ,14 ,117.1 
San Ramon & ,86510 ,4520 ,5224.8 ,162 ,187.3 ,62 ,71.7 ,62 ,71.7 
Santiago & ,503147 ,14986 ,2978.5 ,280 ,55.6 ,223 ,44.3 ,223 ,44.3 
Talagante & ,81838 ,1722 ,2104.2 ,63 ,77.0 ,44 ,53.8 ,44 ,53.8 
Tiltil & ,21477 ,587 ,2733.2 ,13 ,60.5 ,22 ,102.4 ,21 ,97.8 
Vitacura & ,96774 ,1550 ,1601.7 ,61 ,63.0 ,44 ,45.5 ,44 ,45.5 
Desconocido & ,- ,16083 ,- ,0 ,- ,180 ,- ,180 ,- 
Total ,8125072 ,293989 ,3618.3 ,8281 ,101.9 ,6718 ,82.7 ,6700 ,82.5 
