Negrete,10429,107,1026.0,1,9.6,22,211.0,22,211.0,0000,020,0007,121091222,15,171
Penco& ,49865 ,258 ,517.4 ,1 ,2.0 ,73 ,146.4 ,73 ,146.4 ,0 0 0 1 ,4 3 3 ,8 0 3 2 ,2 10 14 43 71 ,52 ,42 0 
Quilaco ,4179 ,11 ,263.2 ,0 ,0.0 ,4 ,95.7 ,4 ,95.7 ,0 0 0 0 ,0 0 O ,O 0 0 0 ,0 O 2 3 1 ,1 ,4 0 
Quilleco ,10032 ,16 ,159.5 ,1 ,10.0 ,7 ,69.8 ,7 ,69.8 ,0 0 0 O ,0 0 O ,0 0 O 0 ,O 1 3 2 2 ,1 ,7 O 
San Pedro de la Paz ,145906 ,579 ,396.8 ,7 ,4.8 ,122 ,83.6 ,122 ,83.6 ,0 0 6 35 ,17 23 8 ,11 4 2 14 ,14 38 64 64 97 ,114 ,66 2 
San Rosendo ,3611 ,21 ,581.6 ,1 ,27.7 ,8 ,221.5 ,8 ,221.5 ,0 0 0 O ,0 0 O ,O 0 0 1 ,1 0 2 6 0 ,8 ,3 O 
Santa Barbara ,14592 ,93 ,637.3 ,0 ,0.0 ,21 ,143.9 ,21 ,143.9 ,0 0 0 0 ,2 0 O ,O 0 0 4 ,9 7 19 8 11 ,23 ,9 1 
Santa Juana ,14779 ,62 ,419.5 ,2 ,13.5 ,14 ,94.7 ,14 ,94.7 ,0 0 0 0 ,0 1 0 ,0 1 0 0 ,0 0 3 17 22 ,14 ,4 0 
Talcahuano& ,158345 ,661 ,417.4 ,2 ,1.3 ,171 ,108.0 ,171 ,108.0 ,0 0 1 16 ,16 20 14 ,14 21 17 18 ,18 42 69 54 110 ,140 ,85 6 
Tirua ,11019 ,30 ,272.3 ,0 ,0.0 ,14 ,127.1 ,14 ,127.1 ,0 0 0 1 ,2 1 O ,O O 0 0 ,O O 1 4 5 ,9 ,7 0 
Tome& ,58729 ,310 ,527.8 ,1 ,1.7 ,64 ,109.0 ,64 ,109.0 ,0 0 0 9 ,13 13 7 ,9 1 4 16 ,6 8 15 53 63 ,65 ,27 1 
Tucapel ,15205 ,122 ,802.4 ,0 ,0.0 ,51 ,335.4 ,51 ,335.4 ,0 0 0 0 ,0 1 O ,0 0 0 1 ,4 6 11 25 12 ,25 ,37 0 
Yumbel ,22132 ,110 ,497.0 ,1 ,4.5 ,45 ,203.3 ,45 ,203.3 ,0 0 0 0 ,5 0 1 ,1 1 2 4 ,3 5 12 3 19 ,38 ,15 1 
Desconocido& ,- ,182 ,- ,0 ,- ,118 ,- ,118 ,- ,0 0 0 1 ,0 O O ,0 0 0 2 ,4 6 7 10 15 ,50 ,85 2 
Total ,1663696 ,7607 ,457.2 ,62 ,3.7 ,2187 ,131.5 ,2184 ,131.3 ,1 2 29 140 ,163 154 100 ,100 68 86 214 ,258 514 760 843 1263 ,1668 ,1191 53 
