Comuna,Proporcion,decasosinvestigadosantesde,nuevos48h,Proporcion,decontactosinvestigadosantesde,nuevos48h
,Casos Nuevos ,Investigados ,% ,Contactos Nuevos ,Investigados ,% 
Antofagasta ,595 ,233 ,392 ,233 ,233 ,1000 
Calama ,137 ,85 ,620 ,46 ,46 ,1000 
Maria Elena ,2 ,2 ,1000 ,1 ,1 ,1000 
Mejillones ,33 ,28 ,848 ,7 ,7 ,1000 
Ollague ,3 ,3 ,1000 ,0 ,0 ,- 
San Pedro de Atacama ,14 ,11 ,786 ,2 ,2 ,1000 
Sierra Gorda ,1 ,1 ,1000 ,1 ,1 ,1000 
Taltal ,14 ,14 ,1000 ,5 ,5 ,1000 
Tocopilla ,12 ,10 ,833 ,5 ,5 ,1000 
Total ,785 ,363 ,462 ,290 ,290 ,1000 
