Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& 425725 ,8617 ,2024.1 ,156 ,36.6 ,820 ,192.6 ,817 ,191.9 
Calama ,& 190336 ,6834 ,3590.5 ,208 ,109.3 ,295 ,155.0 ,295 ,155.0 
Maria Elena ,6814 ,335 ,4916.3 ,13 ,190.8 ,7 ,102.7 ,7 ,102.7 
Mejillones ,14776 ,508 ,3438.0 ,5 ,33.8 ,29 ,196.3 ,29 ,196.3 
Ollague ,287 ,24 ,8362.4 ,0 ,0.0 ,3 ,1045.3 ,3 ,1045.3 
San Pedro de Atacama ,10434 ,297 ,2846.5 ,8 ,76.7 ,25 ,239.6 ,25 ,239.6 
Sierra Gorda ,1746 ,77 ,4410.1 ,1 ,57.3 ,7 ,400.9 ,7 ,400.9 
Taltal ,13657 ,148 ,1083.7 ,4 ,29.3 ,17 ,124.5 ,17 ,124.5 
Tocopilla ,28079 ,292 ,1039.9 ,9 ,32.1 ,9 ,32.1 ,9 ,32.1 
Desconocido ,& - ,250 ,- ,0 ,- ,41 ,- ,41 ,- 
Total ,691854 ,17382 ,2512.4 ,404 ,58.4 ,1253 ,181.1 ,1250 ,180.7 
