Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,15925 ,183 ,1149.1 ,25 ,157.0 ,25 ,157.0 
Chimbarongo ,& 37696 ,224 ,594.2 ,16 ,42.4 ,16 ,42.4 
Codegua ,& 14096 ,262 ,1858.7 ,29 ,205.7 ,29 ,205.7 
Coinco ,7831 ,131 ,1672.8 ,3 ,38.3 ,3 ,38.3 
Coltauco ,21263 ,339 ,1594.3 ,56 ,263.4 ,56 ,263.4 
Donihue ,22700 ,471 ,2074.9 ,27 ,118.9 ,27 ,118.9 
Graneros ,36504 ,573 ,1569.7 ,46 ,126.0 ,46 ,126.0 
La Estrella ,3114 ,38 ,1220.3 ,1 ,32.1 ,1 ,32.1 
Las Cabras ,& 26749 ,350 ,1308.5 ,70 ,261.7 ,70 ,261.7 
Litueche ,6765 ,94 ,1389.5 ,1 ,14.8 ,1 ,14.8 
Lolol ,7289 ,63 ,864.3 ,5 ,68.6 ,5 ,68.6 
Machali ,59913 ,1047 ,1747.5 ,28 ,46.7 ,28 ,46.7 
Malloa ,14163 ,152 ,1073.2 ,10 ,70.6 ,10 ,70.6 
Marchihue ,7632 ,30 ,393.1 ,0 ,0.0 ,O ,0.0 
Mostazal ,27462 ,293 ,1066.9 ,22 ,80.1 ,22 ,80.1 
Nancagua ,19141 ,127 ,663.5 ,16 ,83.6 ,16 ,83.6 
Navidad ,6904 ,76 ,1100.8 ,0 ,0.0 ,O ,0.0 
Olivar ,& 14624 ,261 ,1784.7 ,27 ,184.6 ,27 ,184.6 
Palmilla ,13299 ,96 ,721.9 ,30 ,225.6 ,30 ,225.6 
Paredones ,6349 ,35 ,551.3 ,5 ,78.8 ,5 ,78.8 
Peralillo ,11848 ,71 ,599.3 ,7 ,59.1 ,7 ,59.1 
