Osorno,&OO359,104,6436,181524,17,82033,4134,28,13,2819,O
Palena ,O O O O ,O ,O O ,O O O ,O ,O O O ,O O ,O ,O ,O O ,O 
Puerto Montt ,& O 1 2 14 ,18 ,11 3 ,5 1 1 ,9 ,20 57 59 ,74 99 ,116 ,149 ,202 114 ,O 
Puerto Octay ,& O O O 1 ,O ,O O ,1 1 O ,2 ,O O O ,O O ,1 ,3 ,O O ,O 
Puerto Varas ,& O O 1 O ,2 ,3 2 ,O O O ,1 ,4 7 8 ,21 10 ,10 ,16 ,9 4 ,O 
Puqueldon ,O O O O ,O ,O O ,O O O ,O ,O O O ,O O ,O ,O ,O O ,O 
Purranque ,& 0 O O O ,3 ,12 5 ,1 4 6 ,1 ,6 13 23 ,2 O ,1 ,1 ,5 O ,O 
Puyehue ,O O O 1 ,1 ,1 1 ,1 1 2 ,O ,1 O 1 ,1 2 ,O ,O ,3 O ,O 
Queilen ,O O O O ,O ,O O ,O O O ,O ,O O O ,O O ,O ,O ,O O ,O 
Quellon ,O O O O ,O ,0 0 ,O O 1 ,O ,O O O ,O 1 ,3 ,O ,1 O ,0 
Quemchi ,O O O O ,O ,O O ,O O O ,O ,2 5 7 ,O O ,O ,O ,O O ,O 
Quinchao ,O O O O ,1 ,O O ,O O O ,O ,O O O ,O 1 ,O ,O ,O O ,O 
Rio Negro ,& 0 O O O ,2 ,3 O ,5 6 4 ,4 ,5 4 4 ,O 2 ,1 ,2 ,3 1 ,O 
San Juan de la Costa ,O O O O ,1 ,10 2 ,6 7 2 ,5 ,2 O O ,3 4 ,O ,O ,O O ,O 
San Pablo ,O O O O ,2 ,4 O ,3 O O ,O ,2 1 O ,O O ,O ,O ,2 1 ,O 
Desconocido ,& O O 9 10 ,3 ,1 O ,O 3 O ,1 ,1 2 3 ,1 1 ,3 ,3 ,4 11 ,O 
,,,,,,,,,,,
,,,,,,,,,,,
