Comuna,SESESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
,9 10 11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
Alto Hospicio ,& O O O ,3 ,5 ,6 ,14 ,24 ,38 ,112 ,141 ,269 ,318 ,317 ,260 ,208 ,160 ,171 ,112 ,97 ,58 ,O 
Camina ,& O O 0 ,0 ,0 ,O ,O ,O ,O ,O ,0 ,O ,3 ,9 ,4 ,2 ,4 ,10 ,4 ,6 ,1 ,O 
Colchane ,O O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,2 ,1 ,10 ,18 ,15 ,15 ,11 ,6 ,1 ,O 
Huara ,O O O ,O ,0 ,O ,O ,O ,2 ,8 ,2 ,10 ,7 ,8 ,11 ,6 ,9 ,11 ,18 ,21 ,12 ,O 
Iquique ,& O O O ,9 ,7 ,14 ,11 ,21 ,42 ,103 ,259 ,403 ,505 ,458 ,444 ,457 ,417 ,350 ,330 ,260 ,108 ,O 
Pica ,& O O O ,O ,1 ,7 ,14 ,11 ,O ,1 ,4 ,1 ,7 ,8 ,9 ,10 ,10 ,14 ,42 ,37 ,16 ,O 
Pozo Almonte ,& O 0 O ,O ,1 ,2 ,O ,O ,O ,3 ,5 ,15 ,38 ,58 ,90 ,104 ,61 ,35 ,73 ,44 ,17 ,0 
Desconocido ,& O O 0 ,O ,0 ,O ,1 ,O ,1 ,5 ,95 ,29 ,27 ,25 ,31 ,26 ,20 ,22 ,17 ,24 ,48 ,O 
Total ,0 0 0 ,12 ,14 ,29 ,40 ,56 ,83 ,232 ,506 ,727 ,907 ,884 ,859 ,831 ,696 ,628 ,607 ,495 ,261 ,0 
