Perquenco,7223,15,207.7,0,0.0,7,96.9,7,96.9,O001,1,O0,30,01,0,O2,7O0
Pitrufquen ,26096 ,70 ,268.2 ,0 ,0.0 ,10 ,38.3 ,10 ,38.3 ,O 0 O 4 ,9 ,4 0 ,1 0 ,O O ,6 ,15 19 ,11 1 0 
Pucon ,29782 ,60 ,201.5 ,0 ,0.0 ,10 ,33.6 ,10 ,33.6 ,0 0 1 3 ,0 ,4 3 ,1 3 ,0 3 ,2 ,12 16 ,9 3 0 
Puren ,12188 ,9 ,73.8 ,1 ,8.2 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O ,2 ,O O ,2 0 ,2 1 ,0 ,1 1 ,0 0 O 
Renaico ,10833 ,29 ,267.7 ,1 ,9.2 ,4 ,36.9 ,4 ,36.9 ,0 0 0 O ,0 ,1 3 ,2 1 ,4 3 ,5 ,4 2 ,2 2 0 
Saavedra ,12793 ,95 ,742.6 ,0 ,0.0 ,8 ,62.5 ,8 ,62.5 ,0 0 1 1 ,0 ,1 5 ,8 17 ,13 18 ,10 ,9 4 ,5 3 O 
Temuco ,302931 ,871 ,287.5 ,19 ,6.3 ,30 ,9.9 ,30 ,9.9 ,0 4 26 155 ,172 ,129 110 ,57 25 ,27 49 ,43 ,27 16 ,18 13 0 
Teodoro Schmidt ,15786 ,11 ,69.7 ,0 ,0.0 ,1 ,6.3 ,1 ,6.3 ,0 0 0 1 ,2 ,O 1 ,1 0 ,0 O ,1 ,3 1 ,0 1 0 
Tolten ,10055 ,16 ,159.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 4 ,2 ,2 O ,0 0 ,0 0 ,2 ,5 1 ,0 0 0 
Traiguen ,19314 ,28 ,145.0 ,0 ,0.0 ,9 ,46.6 ,9 ,46.6 ,0 O O O ,0 ,1 O ,1 0 ,O 1 ,4 ,4 5 ,6 6 O 
Victoria& ,35467 ,153 ,431.4 ,3 ,8.5 ,32 ,90.2 ,32 ,90.2 ,0 0 1 2 ,9 ,2 2 ,30 20 ,11 2 ,4 ,18 14 ,23 15 0 
Vilcun ,30766 ,102 ,331.5 ,1 ,3.3 ,8 ,26.0 ,8 ,26.0 ,0 0 0 6 ,11 ,15 8 ,3 5 ,4 5 ,7 ,21 9 ,7 1 0 
Villarrica ,59103 ,49 ,82.9 ,0 ,0.0 ,15 ,25.4 ,15 ,25.4 ,0 0 0 2 ,10 ,6 1 ,0 1 ,0 1 ,2 ,4 7 ,7 8 0 
Total ,1014343 ,2722 ,268.4 ,40 ,3.9 ,387 ,38.2 ,385 ,38.0 ,1 5 32 216 ,290 ,243 196 ,198 133 ,101 147 ,181 ,289 274 ,277 139 0 
