Total,,1663696,15053,,904.8,,156,,9.4,1958,117.7,,1950,117.2,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SE ,SE SE 
Comuna ,9 ,10 11 ,12 13 ,14 ,15 16 ,17 ,18 19 ,20 ,21 22 ,23 24 ,25 26 ,27 ,28 ,29 30 31 ,32 ,33 34 
Alto Biobio ,O ,O O ,O O ,O ,O O ,O ,O O ,7 ,43 51 ,27 11 ,10 2 ,7 ,11 ,2 1 2 ,2 ,O O 
Antuco ,0 ,O 0 ,0 O ,O ,0 O ,O ,O 2 ,2 ,2 13 ,2 5 ,14 4 ,5 ,5 ,1 7 0 ,1 ,O O 
Arauco ,0 ,O 1 ,2 2 ,1 ,0 O ,O ,5 4 ,14 ,17 24 ,22 34 ,65 62 ,29 ,12 ,32 44 46 ,36 ,10 0 
Cabrero ,0 ,0 O ,1 0 ,4 ,3 7 ,1 ,3 4 ,2 ,3 3 ,8 24 ,35 14 ,11 ,11 ,11 1 13 ,6 ,1 0 
Canete ,0 ,O O ,0 O ,O ,O O ,O ,O O ,1 ,9 4 ,7 1 ,7 4 ,3 ,12 ,33 35 16 ,18 ,4 O 
Chiguayante ,& 0 ,0 5 ,5 9 ,16 ,12 10 ,13 ,8 8 ,9 ,9 27 ,40 59 ,52 51 ,60 ,72 ,64 69 56 ,92 ,28 0 
Concepcion ,& 1 ,1 7 ,28 31 ,23 ,23 18 ,15 ,20 19 ,21 ,92 98 ,136 248 ,248 167 ,128 ,135 ,156 145 151 ,210 ,52 0 
Contulmo ,0 ,O O ,0 O ,O ,0 O ,O ,O O ,O ,1 1 ,O O ,11 27 ,3 ,O ,2 1 0 ,2 ,1 O 
Coronel ,& 0 ,O 1 ,6 7 ,4 ,1 O ,5 ,2 13 ,16 ,50 132 ,111 156 ,225 170 ,150 ,101 ,114 116 126 ,135 ,28 O 
Curanilahue ,0 ,O O ,1 O ,O ,0 O ,O ,1 3 ,O ,2 4 ,12 9 ,17 19 ,25 ,46 ,37 23 11 ,21 ,6 O 
Florida ,0 ,O O ,0 2 ,1 ,0 O ,0 ,O 2 ,0 ,2 0 ,0 7 ,7 11 ,2 ,4 ,6 16 4 ,4 ,1 O 
