PuertoVaras&,48620,61,125.5,0,0.0,19,39.1,19,39.1,0010,2321OO147,8199
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 O O O O O O O O ,O O O 
Purranque ,21080 ,68 ,322.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,3 12 5 1 2 3 1 5 13 ,21 2 0 
Puyehue ,11787 ,13 ,110.3 ,0 ,0.0 ,3 ,25.5 ,3 ,25.5 ,0 0 0 1 ,1 1 1 1 1 2 O 1 O ,1 1 2 
Queilen ,5543 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 ,0 0 0 0 0 0 0 O O ,O 0 0 
Quellon ,29309 ,1 ,3.4 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 O ,0 O 0 O 0 1 0 0 0 ,O 0 0 
Quemchi ,8783 ,14 ,159.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 O O O O O 0 2 5 ,7 0 0 
Quinchao ,8298 ,2 ,24.1 ,0 ,0.0 ,1 ,12.1 ,1 ,12.1 ,0 0 0O 0 ,1 0 0 0 O 0 0 0 O ,0 0 1 
Rio Negro ,14275 ,33 ,231.2 ,0 ,0.0 ,1 ,7.0 ,1 ,7.0 ,0 0 0 0 ,2 3 0 4 6 1 4 5 4 ,3 0 1 
San Juan de la Costa ,7639 ,42 ,549.8 ,1 ,13.1 ,5 ,65.5 ,5 ,65.5 ,0 0 0 0 ,1 10 2 6 7 2 5 2 O ,O 3 4 
San Pablo ,10553 ,12 ,113.7 ,1 ,9.5 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,2 4 0 3 0 0 0 2 1 ,0 0 0 
Desconocido ,- ,52 ,,0 ,- ,6 ,- ,6 ,- ,0 0 9 13 ,4 4 1 2 3 1 0 2 3 ,3 3 2 
Total ,891440 ,1317 ,147.7 ,14 ,1.6 ,238 ,26.7 ,237 ,26.6 ,0 1 15 93 ,146 120 61 46 37 52 64 82 132 ,142 129 152 
