SagradaFamilia,19469,2,10.3,0,0.0,0,0.0,0OOO01O1,OOO
San Clemente ,46292 ,14 ,30.2 ,5 ,10.8 ,5 ,10.8 ,0 O O O O 1 2 6 ,1 3 1 
San Javier ,49451 ,25 ,50.6 ,3 ,6.1 ,3 ,6.1 ,0 O O O 2 7 4 7 ,3 2 0 
San Rafael ,9959 ,4 ,40.2 ,1 ,10.0 ,1 ,10.0 ,O O O O 1 O 1 1 ,O O 1 
Talca ,236724 ,163 ,68.9 ,6 ,2.5 ,6 ,2.5 ,O 3 9 13 19 11 16 74 ,16 2 O 
Teno ,30850 ,5 ,16.2 ,3 ,9.7 ,3 ,9.7 ,0 O O O O O 1 1 ,1 2 O 
Vichuquen ,4381 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O O O O O O ,O O 0 
Villa Alegre ,17512 ,2 ,11.4 ,O ,0.0 ,0 ,0.0 ,O O O O O O 1 1 ,O O 0 
Yerbas Buenas ,19200 ,3 ,15.6 ,1 ,5.2 ,1 ,5.2 ,O O O O O O 1 O ,1 O 1 
Total ,1131939 ,439 ,38.8 ,44 ,3.9 ,44 ,3.9 ,1 4 11 26 51 48 65 158 ,45 22 8 
