Nunoa,&1127,55,43,48,48,67,71,155,368,537,753,657,655,561,422,311,206,171,41O
Padre Hurtado ,& O 1 O ,5 ,10 ,5 ,13 ,10 ,16 ,61 ,98 ,171 ,251 ,232 ,278 ,233 ,186 ,175 ,122 ,102 ,23 O 
Paine ,& 0 1 O ,2 ,O ,4 ,8 ,3 ,5 ,29 ,83 ,86 ,132 ,152 ,273 ,237 ,208 ,196 ,182 ,117 ,31 0 
Pedro Aguirre Cerda ,& 0 O 3 ,6 ,15 ,25 ,47 ,32 ,73 ,179 ,366 ,430 ,395 ,510 ,574 ,428 ,343 ,231 ,218 ,133 ,44 O 
Penaflor ,& 1 2 5 ,3 ,9 ,6 ,10 ,15 ,28 ,59 ,109 ,210 ,309 ,315 ,340 ,346 ,329 ,207 ,146 ,189 ,25 0 
Penalolen ,& 1 2 9 ,30 ,36 ,42 ,53 ,71 ,121 ,404 ,979 ,1329 ,1644 ,1589 ,1427 ,1103 ,854 ,581 ,447 ,323 ,91 0 
Pirque ,& 0 1 3 ,1 ,3 ,1 ,5 ,5 ,16 ,39 ,60 ,82 ,161 ,150 ,117 ,113 ,84 ,76 ,75 ,33 ,10 O 
Providencia ,& 0 3 28 ,64 ,22 ,24 ,35 ,43 ,40 ,96 ,284 ,318 ,393 ,431 ,294 ,234 ,206 ,174 ,147 ,109 ,26 O 
Pudahuel ,& 1 1 3 ,20 ,27 ,37 ,44 ,46 ,138 ,365 ,671 ,1016 ,1293 ,1267 ,1333 ,873 ,758 ,514 ,401 ,319 ,138 0 
Puente Alto ,& 2 4 12 ,65 ,105 ,186 ,208 ,333 ,383 ,864 ,1576 ,2214 ,2575 ,2599 ,2824 ,2386 ,1886 ,1443 ,1015 ,666 ,222 0 
Quilicura ,& 0 3 3 ,21 ,31 ,43 ,47 ,142 ,329 ,554 ,819 ,958 ,896 ,1038 ,1101 ,886 ,652 ,403 ,321 ,223 ,85 O 
Quinta Normal ,& 1 2 6 ,14 ,27 ,40 ,50 ,53 ,99 ,267 ,463 ,586 ,712 ,735 ,667 ,539 ,418 ,319 ,254 ,238 ,37 O 
Recoleta ,& 0 0 7 ,14 ,17 ,41 ,46 ,117 ,284 ,742 ,1184 ,1123 ,991 ,874 ,774 ,581 ,506 ,298 ,244 ,171 ,53 0 
Renca ,& 0 0 5 ,7 ,11 ,8 ,36 ,68 ,111 ,298 ,633 ,737 ,840 ,787 ,846 ,801 ,897 ,603 ,494 ,359 ,48 O 
San Bernardo ,& 0 1 6 ,24 ,41 ,67 ,80 ,124 ,162 ,342 ,662 ,899 ,1072 ,1304 ,1428 ,1231 ,1070 ,818 ,576 ,414 ,105 O 
San Joaquin ,& O O 1 ,17 ,23 ,14 ,34 ,44 ,84 ,228 ,504 ,647 ,467 ,490 ,567 ,475 ,350 ,265 ,197 ,177 ,105 O 
San Jose de Maipo ,0 0 1 ,1 ,2 ,2 ,3 ,1 ,4 ,24 ,48 ,55 ,92 ,67 ,77 ,61 ,42 ,41 ,26 ,32 ,6 0 
San Miguel ,& 1 O 3 ,27 ,23 ,28 ,47 ,49 ,79 ,204 ,448 ,515 ,614 ,603 ,649 ,486 ,455 ,265 ,219 ,164 ,63 O 
San Pedro ,O O O ,O ,O ,O ,O ,2 ,10 ,7 ,9 ,16 ,16 ,21 ,28 ,10 ,32 ,29 ,19 ,12 ,2 O 
San Ramon ,& 0 O 1 ,2 ,11 ,11 ,13 ,42 ,90 ,250 ,455 ,554 ,535 ,459 ,553 ,420 ,304 ,207 ,187 ,164 ,38 O 
Santiago ,& 1 3 29 ,99 ,106 ,149 ,168 ,176 ,390 ,954 ,1689 ,1677 ,1844 ,1614 ,1455 ,1184 ,971 ,622 ,500 ,397 ,114 0 
Talagante ,& 0 0 O ,4 ,8 ,7 ,3 ,10 ,10 ,44 ,59 ,95 ,124 ,154 ,182 ,220 ,207 ,186 ,136 ,73 ,15 0 
Tiltil ,0 0 O ,2 ,1 ,2 ,1 ,6 ,5 ,11 ,34 ,43 ,58 ,62 ,92 ,61 ,50 ,44 ,36 ,15 ,4 0 
Vitacura ,& O 6 32 ,50 ,29 ,14 ,7 ,5 ,13 ,56 ,159 ,212 ,185 ,149 ,134 ,98 ,93 ,80 ,54 ,31 ,13 O 
Desconocido ,& 0 0 7 ,10 ,15 ,55 ,175 ,361 ,584 ,765 ,1591 ,2519 ,2736 ,1982 ,1642 ,1579 ,1642 ,1058 ,646 ,470 ,382 O 
Total ,16 69 352 ,1037 ,1133 ,1475 ,1929 ,2897 ,5338 ,12521 ,23533 ,30593 ,34153 ,33627 ,33947 ,27753 ,23217 ,16631 ,12655 ,9275 ,3239 0 
