Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,6775 ,180 ,2656.8 ,3 ,44.3 ,3 ,44.3 
Antuco ,4306 ,73 ,1695.3 ,8 ,185.8 ,8 ,185.8 
Arauco ,& 38679 ,601 ,1553.8 ,45 ,116.3 ,45 ,116.3 
Cabrero ,30725 ,234 ,761.6 ,43 ,140.0 ,43 ,140.0 
Canete ,& 37003 ,253 ,683.7 ,17 ,45.9 ,17 ,45.9 
Chiguayante ,& 91180 ,1285 ,1409.3 ,236 ,258.8 ,235 ,257.7 
Concepcion ,& 238092 ,3446 ,1447.3 ,562 ,236.0 ,562 ,236.0 
Contulmo ,6330 ,59 ,932.1 ,2 ,31.6 ,2 ,31.6 
Coronel ,& 125829 ,2194 ,1743.6 ,237 ,188.4 ,237 ,188.4 
Curanilahue ,33892 ,378 ,1115.3 ,112 ,330.5 ,112 ,330.5 
Florida ,11841 ,109 ,920.5 ,18 ,152.0 ,18 ,152.0 
Hualpen ,& 97273 ,1524 ,1566.7 ,234 ,240.6 ,234 ,240.6 
Hualqui ,& 26201 ,447 ,1706.0 ,73 ,278.6 ,73 ,278.6 
Laja ,& 23873 ,204 ,854.5 ,6 ,25.1 ,6 ,25.1 
Lebu ,27100 ,91 ,335.8 ,15 ,55.4 ,15 ,55.4 
Los Alamos ,22524 ,245 ,1087.7 ,48 ,213.1 ,48 ,213.1 
Los Angeles ,& 218515 ,1563 ,715.3 ,145 ,66.4 ,145 ,66.4 
Lota ,& 45750 ,694 ,1516.9 ,80 ,174.9 ,80 ,174.9 
Mulchen ,& 31041 ,281 ,905.3 ,76 ,244.8 ,76 ,244.8 
Nacimiento ,27944 ,250 ,894.6 ,37 ,132.4 ,37 ,132.4 
Negrete ,10429 ,188 ,1802.7 ,11 ,105.5 ,11 ,105.5 
