Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& ,425725 ,8296 ,1948.7 ,146 ,34.3 ,891 ,209.3 ,890 ,209.1 
Calama ,& ,190336 ,6701 ,3520.6 ,206 ,108.2 ,273 ,143.4 ,272 ,142.9 
Maria Elena ,,6814 ,333 ,4887.0 ,13 ,190.8 ,8 ,117.4 ,8 ,117.4 
Mejillones ,& ,14776 ,504 ,3410.9 ,5 ,33.8 ,31 ,209.8 ,31 ,209.8 
Ollague ,,287 ,24 ,8362.4 ,0 ,0.0 ,3 ,1045.3 ,3 ,1045.3 
San Pedro de Atacama ,,10434 ,291 ,2789.0 ,8 ,76.7 ,32 ,306.7 ,32 ,306.7 
Sierra Gorda ,,1746 ,74 ,4238.3 ,1 ,57.3 ,6 ,343.6 ,6 ,343.6 
Taltal ,,13657 ,141 ,1032.4 ,3 ,22.0 ,16 ,117.2 ,16 ,117.2 
Tocopilla ,,28079 ,288 ,1025.7 ,9 ,32.1 ,12 ,42.7 ,12 ,42.7 
Desconocido ,& ,- ,234 ,- ,O ,- ,36 ,- ,36 ,- 
Total ,,691854 ,16886 ,2440.7 ,391 ,56.5 ,1308 ,189.1 ,1306 ,188.8 
