Vitacura&,96774,936,967.2,14,14.5,123,127.1,121,125.0,07,32,47,29,12,6,5,13,56,148
Total ,8125072 ,129580 ,1594.8 ,2473 ,30.4 ,19892 ,244.8 ,19728 ,242.8 ,13 76 ,336 ,968 ,1045 ,1294 ,1610 ,2348 ,4412 ,10757 ,19978 
