Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Cabo de Hornos ,1983 ,22 ,1109.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Laguna Blanca ,264 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Natales ,23782 ,51 ,214.4 ,O ,0.0 ,2 ,8.4 ,2 ,8.4 
Porvenir ,7323 ,10 ,136.6 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Primavera ,694 ,1 ,144.1 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Punta Arenas & ,141984 ,1485 ,1045.9 ,28 ,19.7 ,98 ,69.0 ,97 ,68.3 
Rio Verde ,211 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Timaukel ,282 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Torres del Paine ,1021 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Desconocido & ,- ,70 ,- ,O ,- ,1 ,- ,1 ,- 
Total ,178362 ,1641 ,920.0 ,28 ,15.7 ,101 ,56.6 ,100 ,56.1 
