Penco,&49865,400,802.2,1,2.0,54,108.3,54,108.3
Quilaco ,4179 ,16 ,382.9 ,0 ,0.0 ,3 ,71.8 ,3 ,71.8 
Quilleco ,10032 ,45 ,448.6 ,1 ,10.0 ,10 ,99.7 ,10 ,99.7 
San Pedro de la Paz ,145906 ,859 ,588.7 ,16 ,11.0 ,115 ,78.8 ,115 ,78.8 
San Rosendo ,3611 ,34 ,941.6 ,1 ,27.7 ,3 ,83.1 ,3 ,83.1 
Santa Barbara ,14592 ,126 ,863.5 ,O ,0.0 ,15 ,102.8 ,15 ,102.8 
Santa Juana ,14779 ,86 ,581.9 ,4 ,27.1 ,12 ,81.2 ,12 ,81.2 
Talcahuano ,158345 ,1113 ,702.9 ,8 ,5.1 ,193 ,121.9 ,193 ,121.9 
Tirua ,11019 ,30 ,272.3 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Tome ,58729 ,373 ,635.1 ,1 ,1.7 ,37 ,63.0 ,37 ,63.0 
Tucapel ,& 15205 ,146 ,960.2 ,1 ,6.6 ,9 ,59.2 ,9 ,59.2 
Yumbel ,22132 ,202 ,912.7 ,1 ,4.5 ,8 ,36.1 ,8 ,36.1 
Desconocido ,& - ,159 ,- ,0 ,- ,33 ,- ,33 ,- 
Total ,1663696 ,11186 ,672.4 ,105 ,6.3 ,1420 ,85.4 ,1420 ,85.4 
