Semanaepidemiologica,Activos,Recuperados,Tasaactivos
8 ,1 ,O ,0.0 
9 ,26 ,O ,0.1 
10 ,103 ,1 ,0.5 
11 ,583 ,26 ,3.0 
12 ,2413 ,104 ,12.4 
13 ,4241 ,609 ,21.8 
14 ,4914 ,2517 ,25.3 
15 ,5519 ,4850 ,28.4 
16 ,6919 ,7431 ,35.6 
17 ,10248 ,10369 ,52.7 
18 ,20018 ,14350 ,102.9 
19 ,39542 ,20617 ,203.2 
20 ,59393 ,34368 ,305.2 
21 ,71769 ,60159 ,368.8 
22 ,77398 ,93761 ,397.8 
23 ,79942 ,131928 ,410.8 
24 ,68780 ,171159 ,353.5 
