Comuna,Proporcioninvestigados,decasosantesde,nuevos48h,Proporcioninvestigados,decontactosantesde,nuevos48h
,Casos Nuevos ,Investigados ,% ,Contactos Nuevos ,Investigados ,% 
Algarrobo ,0 ,0 ,,O ,0 ,
Cabildo ,3 ,3 ,1000 ,8 ,8 ,1000 
Calera ,66 ,57 ,864 ,107 ,99 ,925 
Calle Larga ,8 ,6 ,750 ,34 ,30 ,882 
Cartagena ,10 ,10 ,1000 ,5 ,0 ,00 
Casablanca ,41 ,29 ,707 ,86 ,83 ,965 
Catemu ,15 ,14 ,933 ,44 ,44 ,1000 
Con Con ,14 ,12 ,857 ,23 ,21 ,913 
El Quisco ,6 ,6 ,1000 ,3 ,2 ,667 
El Tabo ,13 ,12 ,923 ,9 ,8 ,889 
