,,,,,SE,SESESESE
,,,,,16 ,17 18 19 20 
0 0 0 ,0 ,1 ,0 ,6 ,3 ,1 19 18 0 
0 0 0 ,3 ,1 ,1 ,1 ,1 ,0 0 1 0 
,,,,,0 ,0 0 0 0 
,,,,,0 ,0 0 0 0 
O 0 0 ,0 ,0 ,0 ,0 ,0 ,0 0 0 0 
,,,,,0 ,0 0 0 0 
,,,,,0 ,0 0 0 0 
0 0 0 ,0 ,0 ,0 ,0 ,0 ,0 0 0 0 
0 0 0 ,0 ,0 ,0 ,0 ,0 ,0 0 0 0 
,,,,,0 ,0 0 0 0 
,,,,,0 ,0 0 0 0 
,,,,,0 ,0 0 0 0 
0 0 0 ,0 ,1 ,0 ,0 ,0 ,0 0 5 0 
,,,,,0 ,0 0 1 0 
,,,,,0 ,0 0 0 0 
,,,,,18 ,15 18 6 0 
O 0 0 ,0 ,0 ,0 ,0 ,0 ,0 0 0 0 
0 1 1 ,13 ,18 ,11 ,3 ,5 ,0 0 2 0 
,,,,,1 ,1 0 2 0 
0 0 1 ,0 ,2 ,3 ,2 ,0 ,0 0 0 0 
,,,,,0 ,0 0 0 0 
