Olmue,19266,17,88.2,8,41.5,8,,41.5,OO00,02O0,O,025,,710
Panquehue ,7633 ,8 ,104.8 ,1 ,13.1 ,1 ,,13.1 ,0 O 0 O ,O O 0 0 ,O ,0 3 2 ,,3 0 O 
Papudo ,6201 ,7 ,112.9 ,2 ,32.3 ,2 ,,32.3 ,O O 0 O ,O O O O ,O ,O O 5 ,,2 O O 
Petorca ,10558 ,15 ,142.1 ,2 ,18.9 ,2 ,,18.9 ,0 O O 1 ,4 1 O O ,O ,O 1 4 ,,4 O O 
Puchuncavi ,20071 ,15 ,74.7 ,3 ,14.9 ,3 ,,14.9 ,0 O 0 O ,0 O O 0 ,O ,0 3 8 ,,1 3 0 
Putaendo ,17645 ,26 ,147.4 ,4 ,22.7 ,4 ,,22.7 ,O 0 0 1 ,0 O 1 3 ,2 ,2 6 7 ,,4 O O 
Quillota & ,97572 ,80 ,82.0 ,15 ,15.4 ,15 ,,15.4 ,O 1 O 4 ,7 3 6 1 ,5 ,3 16 17 ,,16 1 O 
Quilpue & ,167085 ,226 ,135.3 ,47 ,28.1 ,47 ,,28.1 ,O 1 3 3 ,9 6 4 5 ,12 ,17 43 69 ,,38 16 0 
Quintero & ,36135 ,79 ,218.6 ,22 ,60.9 ,20 ,,55.3 ,O 0 O 3 ,1 O O 6 ,2 ,3 21 21 ,,17 5 O 
Rinconada ,11263 ,34 ,301.9 ,16 ,142.1 ,16 ,,142.1 ,O O 0 O ,0 3 0 O ,O ,O 2 13 ,,12 4 O 
San Antonio & ,96761 ,389 ,402.0 ,74 ,76.5 ,74 ,,76.5 ,O O O O ,5 14 10 22 ,38 ,67 61 88 ,,61 23 0 
San Esteban ,20643 ,20 ,96.9 ,4 ,19.4 ,4 ,,19.4 ,O O O O ,O O O 1 ,2 ,2 6 3 ,,6 O O 
San Felipe ,83494 ,129 ,154.5 ,40 ,47.9 ,40 ,,47.9 ,O O O 3 ,2 2 O 0 ,2 ,4 15 55 ,,42 4 O 
Santa Maria & ,16367 ,30 ,183.3 ,4 ,24.4 ,4 ,,24.4 ,O O 0 0 ,2 O O O ,4 ,13 2 5 ,,4 O O 
Santo Domingo & ,11934 ,41 ,343.6 ,2 ,16.8 ,2 ,,16.8 ,0 0 2 2 ,0 6 4 4 ,4 ,4 3 10 ,,2 O 0 
Valparaiso ,315732 ,593 ,187.8 ,153 ,48.5 ,153 ,,48.5 ,0 1 2 10 ,17 12 18 14 ,28 ,82 108 123 ,,138 40 0 
Villa Alemana ,139310 ,172 ,123.5 ,33 ,23.7 ,33 ,,23.7 ,O O 1 7 ,3 3 O 1 ,5 ,27 37 49 ,,32 7 0 
Vina del Mar ,361371 ,724 ,200.3 ,188 ,52.0 ,186 ,,51.5 ,O 0 6 21 ,27 21 12 19 ,21 ,71 134 178 ,,142 72 0 
Zapallar ,7994 ,3 ,37.5 ,0 ,0.0 ,0 ,,0.0 ,0 0 0 0 ,0 0 0 0 ,O ,0 0 3 ,,0 0 0 
,,,,,,,,,,,,,,
