LoPrado,&,104403,5144,4927.1,127,121.6,126,120.7
Macul ,& ,134635 ,5131 ,3811.0 ,79 ,58.7 ,77 ,57.2 
Maipu ,& ,578605 ,15300 ,2644.3 ,329 ,56.9 ,329 ,56.9 
Maria Pinto ,& ,14926 ,412 ,2760.3 ,20 ,134.0 ,20 ,134.0 
Melipilla ,& ,141612 ,4046 ,2857.1 ,82 ,57.9 ,81 ,57.2 
Nunoa ,& ,250192 ,5700 ,2278.3 ,95 ,38.0 ,92 ,36.8 
Padre Hurtado ,& ,74188 ,2246 ,3027.4 ,38 ,51.2 ,38 ,51.2 
Paine ,,82766 ,2023 ,2444.2 ,60 ,72.5 ,59 ,71.3 
Pedro Aguirre Cerda ,& ,107803 ,4485 ,4160.4 ,58 ,53.8 ,57 ,52.9 
Penaflor ,& ,101058 ,3060 ,3028.0 ,99 ,98.0 ,99 ,98.0 
Penalolen ,& ,266798 ,12103 ,4536.4 ,202 ,75.7 ,202 ,75.7 
Pirque ,,30433 ,1150 ,3778.8 ,16 ,52.6 ,16 ,52.6 
Providencia ,& ,157749 ,3363 ,2131.9 ,62 ,39.3 ,61 ,38.7 
Pudahuel ,& ,253139 ,10218 ,4036.5 ,192 ,75.8 ,192 ,75.8 
Puente Alto ,& ,645909 ,24162 ,3740.8 ,484 ,74.9 ,484 ,74.9 
Quilicura ,& ,254694 ,9457 ,3713.1 ,196 ,77.0 ,196 ,77.0 
Quinta Normal ,& ,136368 ,6334 ,4644.8 ,121 ,88.7 ,121 ,88.7 
Recoleta ,& ,190075 ,8745 ,4600.8 ,135 ,71.0 ,131 ,68.9 
Renca ,& ,160847 ,9073 ,5640.8 ,127 ,79.0 ,127 ,79.0 
San Bernardo ,& ,334836 ,11625 ,3471.8 ,226 ,67.5 ,225 ,67.2 
San Joaquin ,& ,103485 ,5180 ,5005.6 ,80 ,77.3 ,79 ,76.3 
San Jose de Maipo ,,18644 ,692 ,3711.6 ,5 ,26.8 ,5 ,26.8 
San Miguel ,& ,133059 ,5465 ,4107.2 ,145 ,109.0 ,145 ,109.0 
San Pedro ,,11953 ,250 ,2091.5 ,6 ,50.2 ,6 ,50.2 
San Ramon ,& ,86510 ,4621 ,5341.6 ,57 ,65.9 ,56 ,64.7 
Santiago ,& ,503147 ,15311 ,3043.0 ,208 ,41.3 ,208 ,41.3 
Talagante ,& ,81838 ,1802 ,2201.9 ,29 ,35.4 ,27 ,33.0 
Tiltil ,& ,21477 ,603 ,2807.7 ,17 ,79.2 ,17 ,79.2 
Vitacura ,& ,96774 ,1609 ,1662.6 ,38 ,39.3 ,38 ,39.3 
Desconocido ,& ,- ,15410 ,- ,154 ,- ,154 ,- 
Total ,,8125072 ,302265 ,3720.2 ,5544 ,68.2 ,5517 ,67.9 
