Lonquimay,OOOO,O,O,O,O2,13,12,27,12,1O,O,3O,OOO
Los Sauces ,O O O O ,O ,O ,O ,1 O ,O ,O ,O ,1 ,3 2 ,1 ,1 8 ,2 2 O 
Lumaco ,O O O O ,O ,O ,O ,4 2 ,1 ,O ,1 ,3 ,2 9 ,8 ,6 2 ,2 1 O 
Melipeuco ,O 0 O O ,O ,O ,O ,O O ,O ,O ,O ,5 ,2 1 ,O ,O O ,1 2 O 
Nueva Imperia & ,O 0 O 4 ,10 ,4 ,13 ,5 4 ,2 ,6 ,5 ,2 ,3 24 ,19 ,11 9 ,6 O O 
Padre Las Casas & ,O O O 12 ,27 ,24 ,17 ,17 11 ,O ,5 ,24 ,16 ,13 4 ,7 ,2 3 ,20 1 O 
Perquenco ,O O O 1 ,1 ,O ,O ,3 O ,O ,1 ,O ,O ,2 7 ,3 ,8 11 ,2 1 O 
Pitrufquen & ,O O O 4 ,9 ,4 ,O ,1 O ,3 ,1 ,6 ,15 ,20 9 ,1 ,8 9 ,3 O O 
Pucon ,O O 1 3 ,O ,4 ,3 ,1 3 ,O ,3 ,2 ,12 ,16 9 ,3 ,4 5 ,2 1 O 
Puren ,0 0 O O ,2 ,O ,O ,2 O ,2 ,1 ,O ,1 ,1 O ,6 ,5 4 ,1 1 O 
Renaico ,O O O O ,O ,1 ,3 ,3 O ,4 ,3 ,5 ,4 ,2 2 ,5 ,12 4 ,4 O O 
Saavedra ,O O 1 1 ,O ,1 ,5 ,8 17 ,13 ,18 ,11 ,9 ,4 5 ,3 ,O O ,2 1 O 
Temuco & ,O 3 26 157 ,175 ,129 ,113 ,58 25 ,27 49 ,,44 ,28 ,16 20 ,30 ,28 43 ,59 22 O 
Teodoro Schmidt ,O O O 1 ,2 ,O ,1 ,1 O ,O ,0 ,1 ,3 ,1 2 ,9 ,6 3 ,1 O 0 
Tolten ,O O O 4 ,1 ,2 ,1 ,O O ,O ,O ,2 ,5 ,1 O ,O ,O O ,1 1 O 
Traiguen ,O O O O ,O ,1 ,O ,1 O ,O ,1 ,4 ,4 ,5 7 ,7 ,5 10 ,4 O O 
Victoria ,O 0 1 2 ,9 ,2 ,1 ,31 20 ,11 ,2 ,4 ,20 ,14 23 ,21 ,1 4 ,5 3 O 
Vilcun & ,O O O 6 ,11 ,15 ,8 ,4 3 ,5 ,6 ,7 ,21 ,9 7 ,4 ,5 2 ,7 5 O 
Villarrica ,O O O 2 ,10 ,6 ,1 ,1 O ,O ,1 ,2 ,4 ,7 7 ,23 ,19 14 ,3 O O 
Desconocido & ,O O O O ,2 ,O ,O ,O O ,O ,1 ,O ,1 ,1 O ,1 ,2 O ,O 1 O 
,,,,,,,,,,,,,
