Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Bulnes ,497 ,987 ,882 
Chillan ,273 ,981 ,842 
Chillan Viejo ,405 ,983 ,930 
Cobquecura ,868 ,962 ,941 
Coelemu ,805 ,980 ,522 
Coihueco ,600 ,982 ,965 
El Carmen ,823 ,1000 ,938 
Ninhue ,878 ,1000 ,993 
Niquen ,455 ,1000 ,1000 
Pemuco ,650 ,1000 ,290 
Pinto ,815 ,985 ,984 
Portezuelo ,164 ,1000 ,824 
Quillon ,711 ,993 ,974 
Quirihue ,886 ,993 ,954 
Ranquil ,419 ,989 ,907 
San Carlos ,721 ,1000 ,1000 
San Fabian ,97 ,1000 ,861 
San Ignacio ,227 ,977 ,953 
San Nicolas ,707 ,976 ,857 
Treguaco ,491 ,1000 ,939 
Yungay ,250 ,938 ,935 
Total ,522 ,987 ,865 
