4044anos,17231,14980
45 49 anos ,16846 ,15642 
50 54 anos ,16047 ,14900 
55 59 anos ,15071 ,13520 
60 64 anos ,11297 ,9600 
65 69 anos ,7142 ,6394 
70 74 anos ,5059 ,4822 
75 79 anos ,3438 ,3707 
80 y mas anos ,4191 ,6583 
