PuertoVaras&,48620,53,109.0,0,0.0,22,45.2,22,45.2,001,02320O0147
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O O ,0 O 0 0 0 O 0 O O 0 
Purranque ,21080 ,68 ,322.6 ,0 ,0.0 ,2 ,9.5 ,2 ,9.5 ,0 0 O ,0 3 12 5 1 2 3 1 5 13 
Puyehue ,11787 ,11 ,93.3 ,0 ,0.0 ,1 ,8.5 ,1 ,8.5 ,0 O 0 ,1 1 1 1 1 1 2 O 1 0 
Queilen ,5543 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 O 0 0 0 O 0 O O 0 
Quellon ,29309 ,1 ,3.4 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O ,0 O 0 0 0 O 1 O O O 
Quemchi ,8783 ,14 ,159.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 ,0 O O 0 0 O 0 O 2 5 
Quinchao ,8298 ,2 ,24.1 ,0 ,0.0 ,1 ,12.1 ,1 ,12.1 ,0 0 0 ,0 1 O 0 0 O 0 O O 0 
Rio Negro ,14275 ,32 ,224.2 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 ,0 2 3 0 4 6 1 4 5 4 
San Juan de la Costa& ,7639 ,42 ,549.8 ,1 ,13.1 ,7 ,91.6 ,7 ,91.6 ,0 O O ,0 1 10 2 6 7 2 5 2 O 
San Pablo ,10553 ,12 ,113.7 ,1 ,9.5 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 2 4 0 3 0 0 O 2 1 
Total ,891440 ,1132 ,127.0 ,13 ,1.5 ,184 ,20.6 ,183 ,20.5 ,0 1 5 ,79 142 117 60 43 33 50 63 79 128 
