SantaBarbara,0,0O,O,2,1,O,0,O0,4,9,7,19,7,8,23,9,14,14,5,4,0
Santa Juana ,O ,O O ,O ,O ,1 ,O ,O ,1 O ,O ,O ,O ,3 ,17 ,23 ,15 ,7 ,2 ,5 ,11 ,1 ,O 
Talcahuano ,0 ,O 1 ,16 ,16 ,20 ,14 ,14 ,21 17 ,18 ,18 ,42 ,69 ,54 ,110 ,151 ,127 ,112 ,130 ,141 ,22 ,O 
Tirua ,O ,O O ,1 ,2 ,1 ,O ,O ,0 O ,O ,O ,O ,1 ,4 ,5 ,9 ,7 ,O ,O ,O ,0 ,O 
Tome ,0 ,O O ,9 ,13 ,13 ,7 ,9 ,1 4 ,16 ,6 ,8 ,15 ,53 ,63 ,65 ,33 ,13 ,15 ,24 ,6 ,O 
Tucapel ,& O ,0 O ,O ,O ,1 ,O ,O ,O O ,1 ,4 ,6 ,11 ,21 ,13 ,28 ,34 ,14 ,7 ,6 ,0 ,O 
Yumbel ,0 ,O O ,0 ,5 ,O ,1 ,1 ,1 2 ,4 ,3 ,5 ,12 ,3 ,20 ,40 ,20 ,46 ,33 ,6 ,0 ,0 
Desconocido ,& 0 ,O O ,1 ,O ,O ,O ,O ,O O ,2 ,4 ,6 ,7 ,9 ,8 ,30 ,40 ,8 ,11 ,11 ,22 ,O 
Total ,1 ,2 29 ,140 ,164 ,155 ,102 ,100 ,69 88 ,213 ,259 ,514 ,758 ,834 ,1263 ,1683 ,1451 ,1134 ,1060 ,978 ,189 ,0 
