ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos,NumerodeCasosRecuperados
Region de Arica y Parinacota ,252110 ,1772 ,702.9 ,410 ,162.6 ,1340 
Region de Tarapaca ,382773 ,6030 ,1575.3 ,871 ,227.6 ,5060 
Region de Antofagasta ,691854 ,8591 ,1241.7 ,1925 ,278.2 ,6508 
Region de Atacama ,314709 ,1030 ,327.3 ,347 ,110.3 ,681 
Region de Coquimbo ,836096 ,3282 ,392.5 ,821 ,98.2 ,2433 
Region de Valparaiso ,1960170 ,14272 ,728.1 ,3367 ,171.8 ,10651 
Region Metropolitana de Santiago ,8125072 ,236572 ,2911.6 ,27835 ,342.6 ,203547 
Region del Libertador General Bernardo OHiggins ,991063 ,6682 ,674.2 ,2714 ,273.8 ,3889 
Region de Maule ,1131939 ,5730 ,506.2 ,1593 ,140.7 ,4087 
Region del Nuble ,511551 ,2800 ,547.4 ,626 ,122.4 ,2136 
Region del Biobio ,1663696 ,7107 ,427.2 ,2411 ,144.9 ,4639 
Region de la Araucania ,1014343 ,3272 ,322.6 ,316 ,31.2 ,2898 
Region de LOs Rios ,405835 ,727 ,179.1 ,118 ,29.1 ,599 
Region de LOs Lagos ,891440 ,1667 ,187.0 ,355 ,39.8 ,1290 
Region de Aysen del General Carlos Ibanez del Campo ,107297 ,40 ,37.3 ,16 ,14.9 ,24 
Region de Magallanes y la Antartica Chilena ,178362 ,1447 ,811.3 ,135 ,75.7 ,1290 
Desconocido ,- ,132 ,-- ,24 ,,108 
Total pais ,19458310 ,301153 ,1547.7 ,43884 ,225.5 ,251180 
