Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Bulnes ,,22607 ,344 ,1521.7 ,6 ,26.5 ,33 ,146.0 ,33 ,146.0 
Chillan ,& ,198624 ,1671 ,841.3 ,16 ,8.1 ,158 ,79.5 ,158 ,79.5 
Chillan Viejo ,& ,33827 ,284 ,839.6 ,2 ,5.9 ,35 ,103.5 ,35 ,103.5 
Cobquecura ,,5275 ,1 ,19.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Coelemu ,,16845 ,73 ,433.4 ,2 ,11.9 ,5 ,29.7 ,5 ,29.7 
Coihueco ,& ,28375 ,198 ,697.8 ,4 ,14.1 ,37 ,130.4 ,37 ,130.4 
Carmen ,& ,12334 ,93 ,754.0 ,2 ,16.2 ,6 ,48.6 ,6 ,48.6 
Ninhue ,,5414 ,44 ,812.7 ,3 ,55.4 ,1 ,18.5 ,1 ,18.5 
Niquen ,,11567 ,84 ,726.2 ,2 ,17.3 ,11 ,95.1 ,11 ,95.1 
Pemuco ,& ,8639 ,102 ,1180.7 ,2 ,23.2 ,4 ,46.3 ,4 ,46.3 
Pinto ,& ,11880 ,65 ,547.1 ,0 ,0.0 ,7 ,58.9 ,7 ,58.9 
Portezuelo ,,4940 ,21 ,425.1 ,0 ,0.0 ,5 ,101.2 ,5 ,101.2 
Quillon ,,18777 ,175 ,932.0 ,4 ,21.3 ,14 ,74.6 ,14 ,74.6 
Quirihue ,& ,12192 ,62 ,508.5 ,2 ,16.4 ,3 ,24.6 ,3 ,24.6 
Ranquil ,& ,6261 ,40 ,638.9 ,0 ,0.0 ,8 ,127.8 ,8 ,127.8 
San Carlos ,& ,56252 ,478 ,849.7 ,5 ,8.9 ,38 ,67.6 ,38 ,67.6 
San Fabian ,,4654 ,14 ,300.8 ,0 ,0.0 ,3 ,64.5 ,3 ,64.5 
San Ignacio ,& ,16624 ,168 ,1010.6 ,4 ,24.1 ,19 ,114.3 ,19 ,114.3 
San Nicolas ,,12172 ,112 ,920.1 ,2 ,16.4 ,10 ,82.2 ,10 ,82.2 
Treguaco ,,5696 ,6 ,105.3 ,1 ,17.6 ,1 ,17.6 ,1 ,17.6 
Yungay ,& ,18596 ,124 ,666.8 ,1 ,5.4 ,13 ,69.9 ,13 ,69.9 
Desconocido ,& ,- ,4 ,- ,0 ,- ,3 ,- ,3 ,
Total ,,511551 ,4163 ,813.8 ,58 ,11.3 ,414 ,80.9 ,414 ,80.9 
