Panquehue,7633,57,746.8,O,0.0,16,209.6,16,209.6,OO0O,O0O0,004,56,4,15,7,106
Papudo ,6201 ,62 ,999.8 ,O ,0.0 ,11 ,177.4 ,11 ,177.4 ,0 0 O 0 ,O 0 O 1 ,0 0 0 ,6 4 ,13 ,16 ,11 9 ,2 
Petorca ,10558 ,48 ,454.6 ,0 ,0.0 ,13 ,123.1 ,13 ,123.1 ,0 0 O 1 ,4 2 O 0 ,0 0 1 ,4 5 ,9 ,4 ,5 13 ,0 
Puchuncavi ,20071 ,102 ,508.2 ,4 ,19.9 ,27 ,134.5 ,27 ,134.5 ,0 0 O O ,O 0 O 0 ,0 O 4 ,7 6 ,8 ,26 ,24 ,16 11 
Putaendo8 ,17645 ,141 ,799.1 ,0 ,0.0 ,38 ,215.4 ,38 ,215.4 ,0 0 0 1 ,O 1 2 4 ,2 2 7 ,7 7 ,14 ,29 ,27 21 ,17 
Quillota8 ,97572 ,837 ,857.8 ,13 ,13.3 ,266 ,272.6 ,263 ,269.5 ,0 1 O 3 ,7 3 8 1 ,5 3 17 ,19 45 ,83 ,188 ,188 ,196 70 
Quilpue& ,167085 ,927 ,554.8 ,8 ,4.8 ,244 ,146.0 ,243 ,145.4 ,0 1 3 3 ,9 6 5 5 ,12 19 47 ,76 78 ,109 ,156 ,154 ,188 56 
Quintero8 ,36135 ,271 ,750.0 ,5 ,13.8 ,53 ,146.7 ,53 ,146.7 ,1 0 0 3 ,1 1 O 6 ,2 3 24 ,23 29 ,39 ,47 ,39 38 ,15 
Rinconada ,11263 ,122 ,1083.2 ,1 ,8.9 ,31 ,275.2 ,31 ,275.2 ,0 0 O 0 ,0 4 0 0 ,0 0 2 ,14 18 ,15 ,19 ,19 22 ,9 
San Antonio& ,96761 ,935 ,966.3 ,25 ,25.8 ,117 ,120.9 ,117 ,120.9 ,0 0 O O ,6 14 11 22 ,38 67 61 ,99 94 ,140 ,140 ,126 83 ,34 
San Esteban ,20643 ,125 ,605.5 ,0 ,0.0 ,32 ,155.0 ,32 ,155.0 ,0 0 0 0 ,0 1 0 1 ,2 2 7 ,3 10 ,16 ,32 ,19 20 ,12 
San Felipe ,83494 ,789 ,945.0 ,17 ,20.4 ,154 ,184.4 ,154 ,184.4 ,0 0 0 3 ,2 2 0 1 ,2 6 19 ,60 70 ,115 ,182 ,173 ,104 50 
Santa Maria ,16367 ,136 ,830.9 ,1 ,6.1 ,39 ,238.3 ,39 ,238.3 ,0 0 O 0 ,2 0 O 0 ,4 15 2 ,5 8 ,13 ,18 ,30 31 ,8 
Santo Domingo ,11934 ,118 ,988.8 ,1 ,8.4 ,13 ,108.9 ,13 ,108.9 ,0 0 2 1 ,0 6 4 4 ,4 5 4 ,11 6 ,9 ,30 ,19 ,12 1 
Valparaiso& ,315732 ,2643 ,837.1 ,48 ,15.2 ,622 ,197.0 ,618 ,195.7 ,0 1 2 9 ,16 14 18 16 ,26 82 114 ,145 235 ,328 ,495 ,520 476 ,146 
Villa Alemana& ,139310 ,910 ,653.2 ,11 ,7.9 ,221 ,158.6 ,220 ,157.9 ,0 0 1 8 ,4 3 0 1 ,5 30 40 ,50 66 ,123 ,176 ,182 ,189 32 
Vina del Mar& ,361371 ,2424 ,670.8 ,51 ,14.1 ,552 ,152.8 ,552 ,152.8 ,0 0 6 21 ,28 22 13 22 ,26 79 139 ,201 228 ,295 ,408 ,384 395 ,157 
Zapallar ,7994 ,25 ,312.7 ,2 ,25.0 ,19 ,237.7 ,18 ,225.2 ,0 0 O 0 ,0 0 0 0 ,0 0 0 ,0 0 ,1 ,2 ,3 ,17 2 
Desconocido& ,- ,291 ,- ,O ,- ,138 ,- ,138 ,- ,0 0 O 1 ,3 2 1 1 ,O 0 11 ,8 6 ,42 ,34 ,44 78 ,60 
Total ,1960170 ,14272 ,728.1 ,254 ,13.0 ,3380 ,172.4 ,3367 ,171.8 ,2 4 15 76 ,110 105 90 108 ,162 377 635 ,998 1246 ,1775 ,2610 ,2579 2461 ,919 
