Region,Poblacion,Confirmados,Tasaincidencia
Alto Biobio ,6.775 ,- ,"0,0 "
Antuco ,4.306 ,- ,"0,0 "
Arauco ,38.679 ,6 ,"15,5 "
Cabrero ,30.725 ,- ,"3,3 "
Canete ,37.003 ,- ,"0,0 "
Chiguayante ,91.180 ,35 ,"38,4 "
Concepcion ,238.092 ,73 ,"30,7 "
Contulmo ,6.330 ,- ,"0,0 "
Coronel ,125.829 ,18 ,"14,3 "
Curanilahue ,33.892 ,- ,"3,0 "
Florida ,11.841 ,- ,"16,9 "
Hualpen ,97.273 ,74 ,"76,1 "
Hualqui ,26.201 ,7 ,"26,7 "
Laja ,23.873 ,5 ,"20,9 "
Lebu ,27.100 ,- ,"0,0 "
Los Alamos ,22.524 ,- ,"0,0 "
Los Angeles ,218.515 ,22 ,"10,1 "
Lota ,45.750 ,- ,"2,2 "
Mulchen ,31.041 ,5 ,"16,1 "
Nacimiento ,27.944 ,4 ,"14,3 "
Negrete ,10.429 ,- ,"19,2 "
Penco ,49.865 ,5 ,"10,0 "
Quilaco ,4.179 ,- ,"0,0 "
Quilleco ,10.032 ,- ,"0,0 "
San Pedro de la Paz ,145.906 ,71 ,"48,7 "
San Rosendo ,3.611 ,- ,"0,0 "
Santa Barbara ,14.592 ,- ,"13,7 "
Santa Juana ,14.779 ,- ,"0,0 "
Talcahuano ,158.345 ,45 ,"28,4 "
Tirua ,11.019 ,4 ,"36,3 "
Tome ,58.729 ,30 ,"51,1 "
Tucapel ,15.205 ,- ,"6,6 "
Yumbel ,22.132 ,5 ,"22,6 "
Por determinar ,- ,20 ,- 
