Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto del Carmen ,5729 ,36 ,628.4 ,7 ,122.2 ,7 ,122.2 
Caldera ,19426 ,251 ,1292.1 ,52 ,267.7 ,52 ,267.7 
Chanaral ,13164 ,91 ,691.3 ,7 ,53.2 ,7 ,53.2 
Copiapo ,& 171766 ,3850 ,2241.4 ,358 ,208.4 ,358 ,208.4 
Diego de Almagro ,& 14358 ,139 ,968.1 ,38 ,264.7 ,38 ,264.7 
Freirina ,7681 ,123 ,1601.4 ,21 ,273.4 ,21 ,273.4 
Huasco ,& 11264 ,74 ,657.0 ,20 ,177.6 ,20 ,177.6 
Tierra Amarilla ,& 14312 ,314 ,2194.0 ,22 ,153.7 ,22 ,153.7 
Vallenar ,& 57009 ,664 ,1164.7 ,80 ,140.3 ,80 ,140.3 
Desconocido ,& - ,35 ,- ,4 ,- ,4 ,- 
Total ,314709 ,5577 ,1772.1 ,609 ,193.5 ,609 ,193.5 
