Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,,15174 ,110 ,724.9 ,7 ,46.1 ,O ,0.0 ,O ,0.0 
Cabildo ,& ,20663 ,304 ,1471.2 ,18 ,87.1 ,4 ,19.4 ,4 ,19.4 
Calera ,& ,53591 ,887 ,1655.1 ,19 ,35.5 ,113 ,210.9 ,111 ,207.1 
Calle Larga ,& ,16482 ,261 ,1583.5 ,2 ,12.1 ,19 ,115.3 ,19 ,115.3 
Cartagena ,& ,25357 ,195 ,769.0 ,3 ,11.8 ,8 ,31.5 ,8 ,31.5 
Casablanca ,& ,29170 ,324 ,1110.7 ,4 ,13.7 ,72 ,246.8 ,72 ,246.8 
Catemu ,,15213 ,160 ,1051.7 ,3 ,19.7 ,34 ,223.5 ,34 ,223.5 
Con Con ,& ,45889 ,538 ,1172.4 ,8 ,17.4 ,26 ,56.7 ,26 ,56.7 
EI Quisco ,,17742 ,184 ,1037.1 ,3 ,16.9 ,13 ,73.3 ,13 ,73.3 
EI Tabo ,& ,14338 ,250 ,1743.6 ,12 ,83.7 ,19 ,132.5 ,19 ,132.5 
Hijuelas ,& ,19099 ,244 ,1277.6 ,5 ,26.2 ,43 ,225.1 ,43 ,225.1 
Isla de Pascua ,,8277 ,5 ,60.4 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Juan Fernandez ,,1033 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
La Cruz ,& ,25321 ,247 ,975.5 ,2 ,7.9 ,32 ,126.4 ,32 ,126.4 
La Ligua ,& ,37739 ,493 ,1306.3 ,12 ,31.8 ,57 ,151.0 ,57 ,151.0 
Limache ,& ,49931 ,879 ,1760.4 ,20 ,40.1 ,95 ,190.3 ,93 ,186.3 
Llaillay ,,26533 ,370 ,1394.5 ,7 ,26.4 ,35 ,131.9 ,35 ,131.9 
Los Andes ,& ,68093 ,1053 ,1546.4 ,45 ,66.1 ,38 ,55.8 ,36 ,52.9 
Nogales ,& ,23490 ,247 ,1051.5 ,3 ,12.8 ,41 ,174.5 ,41 ,174.5 
Olmue ,& ,19266 ,201 ,1043.3 ,3 ,15.6 ,39 ,202.4 ,38 ,197.2 
Panquehue ,,7633 ,119 ,1559.0 ,0 ,0.0 ,2 ,26.2 ,2 ,26.2 
