Loncoche,0,0,-,0,0,-
Lonquimay ,0 ,0 ,- ,0 ,0 ,- 
Los Sauces ,19 ,19 ,1000 ,3 ,3 ,1000 
Lumaco ,0 ,0 ,- ,0 ,0 ,- 
Melipeuco ,2 ,2 ,1000 ,5 ,5 ,1000 
Nueva Imperia ,6 ,3 ,500 ,18 ,18 ,1000 
Padre Las Casas ,14 ,11 ,786 ,10 ,10 ,1000 
Perquenco ,0 ,0 ,- ,0 ,0 ,- 
Pitrufquen ,5 ,5 ,1000 ,8 ,8 ,1000 
Pucon ,5 ,5 ,1000 ,3 ,3 ,1000 
Puren ,1 ,1 ,1000 ,0 ,0 ,- 
Renaico ,0 ,0 ,- ,O ,0 ,- 
Saavedra ,0 ,0 ,- ,0 ,0 ,- 
Temuco ,96 ,91 ,948 ,98 ,98 ,1000 
Teodoro Schmidt ,0 ,0 ,- ,0 ,0 ,- 
Tolten ,0 ,0 ,- ,0 ,0 ,- 
Traiguen ,1 ,1 ,1000 ,0 ,0 ,- 
Victoria ,9 ,9 ,1000 ,10 ,10 ,1000 
Vilcun ,16 ,15 ,938 ,20 ,20 ,1000 
Villarrica ,1 ,1 ,1000 ,2 ,2 ,1000 
Total ,273 ,258 ,945 ,340 ,340 ,1000 
