Quilpue,&013,59,6,45,12,1946,78,79,110,158,157,224,181,201,145,11593,88,142,99,689,O
Quintero ,& O O O ,2 1 ,1 ,O 6 ,2 ,4 24 ,23 ,29 ,46 ,54 ,40 ,45 ,41 ,24 ,36 ,36 23 ,11 ,9 ,10 ,6 4 ,O 
Rinconada ,O O O ,O O ,3 ,O O ,O ,O 2 ,15 ,18 ,15 ,19 ,20 ,20 ,15 ,14 ,13 ,11 8 ,0 ,O ,1 ,O 1 ,O 
San Antonio ,& 0 O O ,O 6 ,15 ,11 22 ,36 ,71 61 ,101 ,94 ,138 ,145 ,120 ,92 ,92 ,82 ,61 ,75 57 ,54 ,45 ,91 ,44 12 ,O 
San Esteban ,0 0 O ,O O ,O ,O 1 ,2 ,2 7 ,4 ,11 ,16 ,28 ,18 ,18 ,28 ,26 ,27 ,17 11 ,11 ,11 ,9 ,4 1 ,O 
San Felipe ,& 0 O O ,3 3 ,2 ,O 1 ,2 ,6 18 ,60 ,70 ,117 ,182 ,174 ,108 ,135 ,85 ,60 ,40 21 ,75 ,97 ,47 ,23 8 ,O 
Santa Maria ,& 0 O O ,O 1 ,1 ,0 O ,4 ,15 3 ,5 ,8 ,13 ,18 ,31 ,32 ,23 ,28 ,18 ,17 10 ,23 ,8 ,9 ,17 3 ,O 
Santo Domingo ,& O O 2 ,1 1 ,5 ,4 4 ,4 ,5 4 ,11 ,7 ,9 ,33 ,21 ,10 ,10 ,7 ,5 ,3 1 ,3 ,0 ,6 ,4 4 ,O 
Valparaiso ,& 0 1 2 ,11 15 ,13 ,21 17 ,26 ,84 119 ,151 ,235 ,316 ,495 ,547 ,504 ,380 ,324 ,342 ,323 306 ,325 ,304 ,324 ,292 42 ,0 
Villa Alemana ,& 0 O 1 ,7 4 ,3 ,O 1 ,5 ,32 41 ,51 ,74 ,125 ,190 ,185 ,213 ,139 ,172 ,129 ,99 98 ,105 ,121 ,115 ,91 10 ,0 
Vina del Mar ,& 1 O 5 ,23 28 ,23 ,13 21 ,25 ,80 142 ,202 ,237 ,307 ,409 ,397 ,457 ,427 ,374 ,283 ,275 227 ,263 ,339 ,348 ,256 37 ,O 
Zapallar ,O O O ,O O ,1 ,O O ,O ,O O ,1 ,O ,1 ,2 ,3 ,19 ,13 ,12 ,11 ,10 4 ,6 ,10 ,5 ,4 1 ,O 
Desconocido ,& 0 O O ,2 3 ,3 ,1 1 ,O ,O 11 ,8 ,6 ,37 ,27 ,37 ,57 ,46 ,51 ,25 ,24 11 ,10 ,11 ,9 ,15 15 ,O 
Total ,1 4 14 ,83 109 ,108 ,92 108 ,158 ,387 644 ,1026 ,1271 ,1781 ,2661 ,2645 ,2733 ,2517 ,2352 ,1955 ,1762 1567 ,1617 ,1867 ,1742 ,1354 242 ,0 
