Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,9020 ,46.4 ,29.0 
XV Arica y Parinacota ,46 ,18.2 ,12.5 
I Tarapaca ,153 ,40.0 ,34.9 
II Antofagasta ,316 ,45.7 ,41.8 
III Atacama ,10 ,3.2 ,2.3 
IV Coquimbo ,62 ,7.4 ,4.3 
V Valparaiso ,460 ,23.5 ,12.6 
Region Metropolitana ,7303 ,89.9 ,61.2 
VI O'Higgins ,209 ,21.1 ,12.4 
VII Maule ,145 ,12.8 ,7.2 
XVI De Nuble ,60 ,11.7 ,5.9 
VIII De Biobio ,104 ,6.3 ,3.8 
IX Araucania ,76 ,7.5 ,4.0 
XIV Los Rios ,13 ,3.2 ,1.7 
X (Los Lagos ,33 ,3.7 ,2.1 
XI Aysen ,1 ,0.9 ,1.1 
XII Magallanes y la Antartica ,28 ,15.7 ,9.3 
Ignorada ,1 ,0.0 ,0.0 
